公告类型,文件标题,时间,来源,正文标题,宗地编号,土地位置,出让面积(m2),绿化用地,道路用地,土地用途,岀让年限,容积率,建筑密度,绿地率,建筑空间,起始价(万元),保证金(万元),竞价幅度(万元),报名时间起止日期,挂牌开始时间,挂牌截止时间,保证金到账截止时间,联系地址,联系人,联系电话,爬取地址url,唯一标识,
出让公告,示范区出让公告,2018-05-04,山西省自然资源厅,,XD-11片区02街区031-1地块（都乐街北侧地块）,东至国有空地，南至都乐街，西至坤泽公司，北至坤泽公司,38平方米（计0.0570亩）,,,居住兼容商业,居住70年商业40年,≥5.5≤5.81,,≥30%≤35%,限高+100米,26,26,1,2018年5月11日至2018年6月3日,,,,山西转型综合改革示范区政务服务中心二层土地管理局窗口,郭志豪 ,0351-7560082 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180504_79243.shtml,72499a472d6006a81cbf40cceb75aaa3,
出让公告,示范区出让公告,2018-05-04,山西省自然资源厅,,XD-11片区02街区031-2地块,东至国有空地，南至国有空地，西至坤泽公司，北至都乐街,2853平方米（计4.2795亩）,,,居住兼容商业,居住70年商业40年,≥3.5≤3.96,,≥42%≤43%,限高+100米,1610,1610,5,2018年5月11日至2018年6月3日,,,,山西转型综合改革示范区政务服务中心二层土地管理局窗口,郭志豪 ,0351-7560082 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180504_79243.shtml,72499a472d6006a81cbf40cceb75aaa3,
出让公告,示范区出让公告,2018-05-04,山西省自然资源厅,,B4-01-02地块,潇河产业园规划小牛线以南、规划支路以北、真武路以东、真武东路以西,210084平方米（计315.1260亩）,,,工业,50年,≥1.0 ≤2.5,,≥15% ≤20%,限高+45米,9230,9230,158,2018年5月11日至2018年6月3日,,,,山西转型综合改革示范区政务服务中心二层土地管理局窗口,郭志豪 ,0351-7560082 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180504_79243.shtml,72499a472d6006a81cbf40cceb75aaa3,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2018]13号),2018-05-09,山西省自然资源厅,,HGZ-1813,万柏林区后北屯村 北至太原金世恒房地产开发有限公司、南至规划路、西至规划路、东至山西飞达房地产开发有限公司,14085.7平方米,,,小学,小学50年,1.0,30,30,,2120万元,2120万元,,,2018年05月30日 08时00分,2018年06月13日,2018年06月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180509_79245.shtml,751d666a065404630590f28684ed5ceb,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2018]33号),2018-05-15,山西省自然资源厅,,SG-1829 ,,39605.77平方米 ,,,物流仓储 ,50年 ,1.0-1.5 ,,,,5290万元 ,5290万元 ,,2018年6月4日至2018年6月14日,,,2018年6月14日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180515_79246.shtml,d23bc767258b927d27877d2514b0ba79,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2018]35号),2018-05-15,山西省自然资源厅,,SG-1831,,36659.53平方米,,,物流仓储,50,1.0-1.5,/,/,,4900万元,4900万元,,,2018年6月4日,2018年6月19日,2018年6月14日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180515_79248.shtml,51f48576da6ba6fc0e9b05ba1523d9c1,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2018]34号),2018-05-15,山西省自然资源厅,,SG-1830,,39916.14平方米,,,物流仓储,50年,1.0-1.5,,,,5330万元,5330万元,,2018年6月4日至2018年6月14日,,,2018年6月14日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201805/t20180515_79247.shtml,741496bc1055775d69f815dc5a63fd8b,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-17号,示范区晋中开发区魏榆路西侧、汇丰街北侧,48299.11平方米（合72.4487亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与2.5之间,介于15％与35％之间,不少于35％,尺寸控制在-10米—90米之间,18840万元,18840万元,200万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-18号,示范区晋中开发区思敬路西侧、汇丰街北侧,113510.64平方米（合170.266亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与2.5之间,介于15％与30％之间,不少于35％,尺寸控制在-10米—90米之间,44270万元,44270万元,200万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-20号,示范区晋中开发区龙田路西侧、广安街南侧,33331.56平方米（合49.9973亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与2.5之间,介于15％与30％之间,不少于35％,尺寸控制在-10米—80米之间,13000万元,13000万元,200万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-21号,示范区晋中开发区龙田路西侧、凤翔街北侧,35995.74平方米（合53.9936亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与2.5之间,介于15％与30％之间,不少于35％,尺寸控制在-10米—80米之间,14040万元,14040万元,200万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-22号,示范区晋中开发区龙田路西侧、汇丰街南侧,62521.71平方米（合93.7825亩）,,,工业用地,50年,介于1.2与1.5之间,介于20％与45％之间,介于20％与25％之间,尺寸控制在-10米—80米之间,4880万元,4880万元,10万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-23号,示范区晋中开发区龙田路西侧、汇阜街北侧,100508.71平方米（合150.7631亩）,,,工业用地,50年,介于1.2与1.5之间,介于20％与45％之间,介于20％与25％之间,尺寸控制在-10米—80米之间,7840万元,7840万元,10万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-24号,示范区晋中开发区龙田路西侧、广安街北侧,169785.58平方米（合254.6784亩）,,,工业用地,50年,介于1.2与1.5之间,介于20％与45％之间,介于20％与25％之间,尺寸控制在-10米—80米之间,13245万元,13245万元,10万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-07-02,山西省自然资源厅,,GK2018-25号,示范区晋中开发区龙田路西侧、汇丰街南侧,45653.48平方米（合68.4802亩）,,,工业用地,50年,介于1.2与1.5之间,介于20％与45％之间,介于20％与25％之间,尺寸控制在-10米—80米之间,3565万元,3565万元,10万元,2018年7月23日8时至2018年8月1日10时,2018年7月23日8时,2018年8月3日10时,2018年8月1日10时,晋中开发区土地事务中心（开发区办公楼北602房间） ,,0354-3368707 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201807/t20180702_79250.shtml,283e1722bb79d38843b1a51e7383f58a,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-11号,示范区晋中开发区南同蒲铁路以西,51765.88平方米（合77.6488亩）,,,工业用地,50年,介于0.8与2.0之间,介于30％与60％之间,不大于20％,尺寸控制在-6米—40米之间,4000万元,4000万元,10万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-12号,示范区晋中开发区徐工安瑞达以东、规划路以北,7438.14平方米（合11.1572亩）,,,工业用地,50年,介于0.8与2.0之间,介于30％与60％之间,不大于20％,尺寸控制在-6米—40米之间,575万元,575万元,10万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-13号,示范区晋中开发区规划路以北,11002.71平方米（合16.5041亩）,,,工业用地,50年,介于0.8与2.0之间,介于30％与60％之间,不大于20％,尺寸控制在-6米—40米之间,850万元,850万元,10万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-14号,示范区晋中开发区南同蒲铁路以西、规划路以北,6665.77平方米（合9.9986亩）,,,工业用地,50年,介于0.8与2.0之间,介于30％与60％之间,不大于20％,尺寸控制在-6米—40米之间,515万元,515万元,10万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-15号,示范区晋中开发区广安街南侧、王河路东侧,61757.27平方米（合92.6359亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与3.5之间,介于15％与25％之间,不少于35％,尺寸控制在-10米—90米之间,24090万元,24090万元,200万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-06-28,山西省自然资源厅,,GK2018-16号,示范区晋中开发区广安街南侧、王河路东侧,53996.22平方米（合80.9943亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与3.5之间,介于15％与26％之间,不少于35％,尺寸控制在-10米—100米之间,21060万元,21060万元,200万元,2018年7月18日8时至2018年7月27日10时,2018年7月18日8时,2018年7月31日10时,2018年7月27日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201806/t20180628_79249.shtml,e0bf81a7283f582d425bf8f50468444c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-08-15,山西省自然资源厅,,GK2018-15号,示范区晋中开发区广安街南侧、王河路东侧,61757.27平方米（合92.6359亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与3.5之间,介于15％与25％之间,不少于35％,尺寸控制在-10米—90米之间,24090万元,24090万元,200万元,2018年9月4日8时至2018年9月12日10时,2018年9月4日8时,2018年9月14日10时,2018年9月12日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201808/t20180815_79253.shtml,5513fbab2ff8220239bed369a4dc4d83,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告国有建设用地使用权挂牌出让公告晋中...,2019-03-05,晋中市规划和自然资源局,晋中自然告字[2019]2号,JZGT2019T13,大学街以北、中都北路以东,2064.25,,,城镇单一住宅用地,70,≥1.5且≤2.6,,,≥-10且≤75,,953,,2019年3月6日9时至2019年4月2日16时30分,2019年3月26日9时,2019年4月4日16时,2019年4月2日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201903/t20190305_84961.shtml,8e040fe99e22da4115c492cc551aa96d,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告国有建设用地使用权挂牌出让公告晋中...,2019-03-05,晋中市规划和自然资源局,晋中自然告字[2019]2号,JZGT2019T12,中都路东侧、纬五街北侧,77.92,,,商业用地,40,≥2.0且≤3.9,,,≥-10且≤75,,46,,2019年3月6日9时至2019年4月2日16时30分,2019年3月26日9时,2019年4月4日16时,2019年4月2日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201903/t20190305_84961.shtml,8e040fe99e22da4115c492cc551aa96d,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告国有建设用地使用权挂牌出让公告晋中...,2019-03-05,晋中市规划和自然资源局,晋中自然告字[2019]2号,JZGT2019T06,蕴华街北侧、锦纶路以东,3060.28,,,商业用地,40,≥1.0且≤2.1,,,≥-10且≤40,,1872,,2019年3月6日9时至2019年4月2日16时30分,2019年3月26日9时,2019年4月4日16时,2019年4月2日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201903/t20190305_84961.shtml,8e040fe99e22da4115c492cc551aa96d,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告2019年2号,2019-04-01,晋中市规划和自然资源局,晋中开土告字（2019）2号,GK2019-1号,晋中开发区迎宾西街南侧、中鼎物流园中盛路西侧,3333.62平方米（合5.0004亩）,,,加油站用地,40年,不大于0.5,不大于40％,不小于15％,尺寸控制在-10米—20米之间,1030万元,1030万元,10万元,2019年4月21日8时至2019年4月28日10时,2019年4月21日8时,2019年4月30日10时,2018年4月28日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88852.shtml,4e6a78f6e7a1238042603c4a25c11c9f,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告,2018-08-20,山西省自然资源厅,,GK2018-16号,示范区晋中开发区广安街南侧、魏榆路西侧,53996.22平方米（合80.9943亩）,,,商住混合用地,商服40年，住宅70年,介于1.0与3.5之间,介于15％与26％之间,不少于35％,尺寸控制在-10米—100米之间,21060万元,21060万元,200万元,2018年9月10日8时至2018年9月19日10时,2018年9月10日8时,2018年9月21日10时,2018年9月19日10时,晋中开发区土地事务中心（开发区办公楼北602房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201808/t20180820_79254.shtml,37852e0fccde2d356cc0ee8ab57f856c,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告3号,2019-04-03,晋中市规划和自然资源局,晋中开土告字（2019）3号,GK2018-33号,潇河产业园晋中起步区兴隆北街南侧、榆次修文粮食仓库西侧,87421.29平方米（合131.1319亩）,,,工业用地,50年,介于1.0与2.0之间,介于35%与50%,介于15%与20%之间,尺寸控制在-10米—45米之间,3515万元,3515万元,10万元,2019年4月23日8时至2019年4月30日10时,2019年4月23日8时,2019年5月6日10时,2019年4月30日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190404_88878.shtml,d91dfac5bb18713b048d175a6444dfac,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告3号,2019-04-03,晋中市规划和自然资源局,晋中开土告字（2019）3号,GK2018-34号,新能源汽车园区文华街南侧、兴园路西侧,142686.69平方米（合214.03亩）,,,工业用地,50年,介于0.7与2.0之间,介于40%与70%,介于10%与20%之间,尺寸控制在-10米—60米之间,7805万元,7805万元,10万元,2019年4月23日8时至2019年4月30日10时,2019年4月23日8时,2019年5月6日10时,2019年4月30日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190404_88878.shtml,d91dfac5bb18713b048d175a6444dfac,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告4号,2019-04-03,晋中市规划和自然资源局,晋中自然告字[2019]4号,JZGT2019T04,府兴路东侧、思凤街北侧,26645.85,,,商业、住宅用地,商业40、住宅70,≥1.0且≤1.6,,,≥-10且≤60,,9933,,2019年4月3日9时至2019年4月30日16时30分,2019年4月23日9时,2019年5月6日16时,2019年4月30日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88851.shtml,7ac255e05ca3f25076d2fc5426ac093c,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告4号,2019-04-03,晋中市规划和自然资源局,晋中自然告字[2019]4号,JZGT2019T02,榆次工业园区七号路南侧、环城西路西侧,85146.08,,,商业、住宅用地,商业40、住宅70,≥1.0且≤2.8,,,≥-10且≤90,,24552,,2019年4月3日9时至2019年4月30日16时30分,2019年4月23日9时,2019年5月6日16时,2019年4月30日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88851.shtml,7ac255e05ca3f25076d2fc5426ac093c,
