文件标题,信息时间,正文标题,公告编号,出让时间,公告类型,宗地编号,地块编号,宗地位置,宗地坐落,土地用途,规划土地用途,出让年限,使用年限,批准机关及文号,规划用地面积〔m2),规划面积(m2),出让面积(m2),出让用地面积(m2),宗地出让面积,建筑密度,容积率,绿地率,绿地率(%),建筑控制高度(m),建筑控制高度(米),建筑系数(%),投资强度(万元/公顷),土地估价备案号,是否省重点,现状土地条件,竞买保证金,竟买保证金(万元),起叫价,出让起始价(万元),加价幅度,是否设置保留价,挂牌开始时间,挂牌截止时间,获取出让文件时间,提交竞买申请时间,保证金截止时间,确认竞买资格时间,联系地址,联系电话,联系人,保证金账户开户单位/户名,保证金账户账号,保证金账户开户行,出让金账户开户单位/户名,出让金账户开户行,出让金账户账号,爬取地址url,唯一标识,
连城县自然资源局国有土地使用权挂牌出让公告,2020/1/15,连城县自然资源局国有土地使用权挂牌出让公告,连自然资告字（2020）2号,,出让公告,G2020-3,,,,工矿仓储用地-仓储用地（物流仓储设施、配送中心等）,,,50年,,10857.78,,,,,,≥1.0,,≤20,,,,/,,,,45,,140,140,1,,,,,,,,连城县莲峰镇东环北路28号,0597-8912803）开具竞买保证金缴交票据， 账户名称：龙岩市公共资源交易中心有限公司连城分公司, 揭先生 ,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e52f5853-89ef-4564-813d-917bac20e3eb&CategoryNum=084002,6a1b9d3520b17fcf1d32949a8bef6c93
连城县自然资源局国有土地使用权协议出让公示,2020/1/16,连城县自然资源局国有土地使用权协议出让公示,连自然资事前告字（2020）4号,,出让公告,X2020-4,,,,公共管理与公共服务用地-公用设施用地（垃圾处理）,,,50年,闽政地[2019]1084号,9995.95,,,,,≤25,0.2≤＜0.8,,≥20,,,,,,,,,,,,,,,,,,,,连城县莲峰镇东环北路28号,0597-3320230 ,揭业镔,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=3ee88e3a-f2f2-454b-9480-202d327fc4b5&CategoryNum=084002,e6eadc4ac2b817b60c0c06ff01b498f5
长汀县自然资源局国有建设用地使用权拍卖出让公告,2020/1/19,长汀县自然资源局国有建设用地使用权拍卖出让公告,,2020年2月12日上午10时,出让公告,2019P32,2019P32,策武镇麻陂（火车南站）,,商服用地—零售商业用地（商铺、商场）；住宅用地—城镇住宅用地（普通商品房）,,,商服40年、住宅70年,长汀县人民政府汀政综〔2020〕3号,33933,,,,,,1.8-2.2,,≥30%,檐口高度≤54米,,,,,,,1360万元,,,,10万元及10万元的整倍数,,,,,,,,长汀县行政服务中心自然资源窗口,0597-6801615,董先生、王先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=4794561f-10a4-46de-8c60-0bd50209238f&CategoryNum=084002,6205a5ae3077ec355f914bb4b6ba6d8b
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]1号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]1号),,,出让公告,2020挂-G01,,,新罗区雁石镇大吉村,工矿仓储用地-工业用地（医药制造业）,,50年,,,,,,,,,≥1.0且＜1.5,,,,,,(万元/公顷)：,3505319BA0019,,,189万元,,942万元,,2万元,,2020年01月22日08时00分,2020年02月07日15时00分,,2020年01月22日08时00分至 2020年02月07日,2020年01月22日08时00分至 2020年02月07日,2020年01月22日08时00分至 2020年02月07日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c5d00223-fa2d-43fa-bccf-dd44fcb9b8bc&CategoryNum=084002,0dc9c47d8e65a2a455a8b5050cb15f6e
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]1号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]1号),,,出让公告,2020挂-G02,,,龙州工业园硬质合金园，江山公路西侧,工矿仓储用地-工业用地（专用设备制造业）,,50年,,,,,,,,,≥1.0且＜1.2,,,,,,(万元/公顷)：,3505219BB0003,,,105万元,,521万元,,2万元,,2020年01月22日08时00分,2020年02月07日15时00分,,2020年01月22日08时00分至 2020年02月07日,2020年01月22日08时00分至 2020年02月07日,2020年01月22日08时00分至 2020年02月07日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c5d00223-fa2d-43fa-bccf-dd44fcb9b8bc&CategoryNum=084002,0dc9c47d8e65a2a455a8b5050cb15f6e
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),,,出让公告,2020挂-G03,,,新罗区西陂街道园田塘村,工矿仓储用地-工业用地（非金属矿物制品业）,,50年,,,,,,,,,≥1.6且＜2.0,,,,,,(万元/公顷)：,3505320BA0001,,,209万元,,1045万元,,2万元,,2020年02月3日08时00分,2020年02月14日15时00分,,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5a48d78c-70d5-401a-adb1-b9344da7b958&CategoryNum=084002,81a42fe62cf71726c459dec0dd93986c
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),,,出让公告,2020挂-G04,,,新罗区西陂街道园田塘村,工矿仓储用地-工业用地（专用设备制造业）,,50年,,,,,,,,,≥1.0且＜2.0,,,,,,(万元/公顷)：,3505320BA0002,,,284万元,,1416万元,,2万元,,2020年02月3日08时00分,2020年02月14日15时00分,,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5a48d78c-70d5-401a-adb1-b9344da7b958&CategoryNum=084002,81a42fe62cf71726c459dec0dd93986c
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),,,出让公告,2020挂-G05,,,铁山镇林邦村,工矿仓储用地-工业用地（通用设备制造业）,,50年,,,,,,,,,≥1.2且＜2.0,,,,,,(万元/公顷)：,3511620BA0002,,,627万元,,3134万元,,2万元,,2020年02月3日08时00分,2020年02月14日15时00分,,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5a48d78c-70d5-401a-adb1-b9344da7b958&CategoryNum=084002,81a42fe62cf71726c459dec0dd93986c
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),,,出让公告,2020挂-G06,,,铁山镇林邦村,工矿仓储用地-工业用地（通用设备制造业）,,50年,,,,,,,,,≥1.2且＜2.0,,,,,,(万元/公顷)：,3509220BA0002,,,587万元,,2932万元,,2万元,,2020年02月3日08时00分,2020年02月14日15时00分,,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5a48d78c-70d5-401a-adb1-b9344da7b958&CategoryNum=084002,81a42fe62cf71726c459dec0dd93986c
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]2号),,,出让公告,2020挂-G07,,,西陂街道紫阳村,工矿仓储用地-工业用地（化学药品原料药制造）,,50年,,,,,,,,,≥0.9且＜2.0,,,,,,(万元/公顷)：,3505220BA0003,,,242万元,,1210万元,,2万元,,2020年02月3日08时00分,2020年02月14日15时00分,,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,2020年02月3日08时00分至 2020年02月14日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=5a48d78c-70d5-401a-adb1-b9344da7b958&CategoryNum=084002,81a42fe62cf71726c459dec0dd93986c
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),,,出让公告,2020挂-G08,,,龙溪邦中路东侧，龙埔路南侧,工矿仓储用地-工业用地（物资储备）,,50年,,,,,,,,,≥1.0且＜1.5,,,,,,(万元/公顷)：,3505420BB0003,,,102万元,,506万元,,2万元,,2020年02月10日08时00分,2020年02月21日15时00分,,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e3b02d0c-0640-4d4d-ae3c-3109ff0bba6c&CategoryNum=084002,e426554e63ddeb33e891ff6f6ffc0f79
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),,,出让公告,2020挂-G09,,,大池镇红斜村,工矿仓储用地-工业用地（非金属矿物制品业）,,50年,,,,,,,,,≥0.9且＜1.4,,,,,,(万元/公顷)：,3505120BA0002,,,191万元,,955万元,,2万元,,2020年02月10日08时00分,2020年02月21日15时00分,,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e3b02d0c-0640-4d4d-ae3c-3109ff0bba6c&CategoryNum=084002,e426554e63ddeb33e891ff6f6ffc0f79
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),,,出让公告,2020挂-G10,,,兴盛路北侧、南三龙铁路南侧,工矿仓储用地-工业用地（电气机械和器材制造业）,,50年,,,,,,,,,≥1.1且＜1.3,,,,,,(万元/公顷)：,3505020BA0006,,,81万元,,401万元,,2万元,,2020年02月10日08时00分,2020年02月21日15时00分,,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e3b02d0c-0640-4d4d-ae3c-3109ff0bba6c&CategoryNum=084002,e426554e63ddeb33e891ff6f6ffc0f79
龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),2020/1/21,龙岩市自然资源局国有建设用地使用权挂牌出让公告(龙自然告字[2020]3号),,,出让公告,2020挂-G11,,,兴盛路北侧、南三龙铁路南侧,工矿仓储用地-工业用地（汽车制造业）,,50年,,,,,,,,,≥1.0且＜1.3,,,,,,(万元/公顷)：,3501820BA0008,,,63万元,,313万元,,2万元,,2020年02月10日08时00分,2020年02月21日15时00分,,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,2020年02月10日08时00分至 2020年02月21日,,0597-2291438,谢先生、陈女士,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=e3b02d0c-0640-4d4d-ae3c-3109ff0bba6c&CategoryNum=084002,e426554e63ddeb33e891ff6f6ffc0f79
长汀县自然资源局国有建设用地使用权拍卖出让公告,2020/2/21,长汀县自然资源局国有建设用地使用权拍卖出让公告,,2020年3月12日上午10时,出让公告,2019P32,2019P32,策武镇麻陂（火车南站）,,商服用地—零售商业用地（商铺、商场）；住宅用地—城镇住宅用地（普通商品房）,,,商服40年、住宅70年,长汀县人民政府汀政综〔2020〕3号,33933,,,,,,1.8-2.2,,≥30%,檐口高度≤54米,,,,,,,1360万元,,,,10万元及10万元的整倍数,,,,,,,,长汀县行政服务中心自然资源窗口,0597-6801615,董先生、王先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=920cd307-2354-4c1d-9284-ef33b0c57763&CategoryNum=084002,ecd1cf66a8015ca804575b31239d3dc0
龙岩市自然资源局国有建设用地使用权拍卖出让公告,2019/11/11,龙岩市自然资源局国有建设用地使用权拍卖出让公告,(龙自然告字[2019]11号),2019年11月29日上午9时,出让公告,2019拍-16,2019拍-16,龙跃路东侧（龙跃路以东1号地块）,,住宅用地-城镇住宅用地（普通商品房）,,,住宅：70年,龙政地[2018] 174号龙政地[2019] 175号,78656,,,77747,,12月22日,≥1.5且<2.0,,30-40,≥24且≤80,,,,,,,,,40820,,,,,,,,,,,,廖先生、林先生,,,,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=2c036368-2d03-411c-a832-45a4dae0fb5e&CategoryNum=084002,fcb3e143b1d0c13d613ff26555c5cce8
武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,2019/11/13,武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,武自然告字〔2019〕19号,,出让公告,G2019-10,,,,,,,,,,,20000,,,,≥1.0,,15-20,,,≥40,,,,,,42,,206,2万元/次,,2019年12月2日8时0分0秒 , 2019年12月12日16时0分0秒,,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,平川街道西环路21-4号 ,,潘女士、童先生,龙岩市公共资源交易中心有限公司武平分公司,中国建设银行股份有限公司武平支行|武平农村信用合作联社营业部|泉州银行股份有限公司武平支行|中国邮政储蓄银行股份有限公司武平县支行,35050169740709188888；|9090610010010000097292；|0000014652956012；|935001010010930012,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=b90b4bf7-f03b-4877-a841-ead1d518c73a&CategoryNum=084002,155120f815c65f516927702454f92f98
武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,2019/11/13,武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,武自然告字〔2019〕19号,,出让公告,G2019-11,,,,,,,,,,,7195,,,,≥0.9,,15-20,,,≥40,,,,,,14,,66,1万元/次,,2019年12月2日8时0分0秒 , 2019年12月12日16时0分0秒,,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,平川街道西环路21-4号 ,,潘女士、童先生,龙岩市公共资源交易中心有限公司武平分公司,中国建设银行股份有限公司武平支行|武平农村信用合作联社营业部|泉州银行股份有限公司武平支行|中国邮政储蓄银行股份有限公司武平县支行,35050169740709188888；|9090610010010000097292；|0000014652956012；|935001010010930012,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=b90b4bf7-f03b-4877-a841-ead1d518c73a&CategoryNum=084002,155120f815c65f516927702454f92f98
武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,2019/11/13,武平县自然资源局关于武平县工业园区H06-2A等3幅地块国有土地使用权挂牌出让公告,武自然告字〔2019〕19号,,出让公告,G2019-12,,,,,,,,,,,19879,,,,≥0.9,,15-20,,,≥40,,,,,,36,,180,2万元/次,,2019年12月2日8时0分0秒 , 2019年12月12日16时0分0秒,,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,2019年11月12日8时0分0秒 至 2019年12月9日,平川街道西环路21-4号 ,,潘女士、童先生,龙岩市公共资源交易中心有限公司武平分公司,中国建设银行股份有限公司武平支行|武平农村信用合作联社营业部|泉州银行股份有限公司武平支行|中国邮政储蓄银行股份有限公司武平县支行,35050169740709188888；|9090610010010000097292；|0000014652956012；|935001010010930012,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=b90b4bf7-f03b-4877-a841-ead1d518c73a&CategoryNum=084002,155120f815c65f516927702454f92f98
武平县自然资源局国有土地使用权拍卖出让公告,2019/11/13,武平县自然资源局国有土地使用权拍卖出让公告,武自然告字〔2019〕20号,,出让公告,P2019-7,,,,住宅用地-城镇住宅用地（普通商品房）,,住宅70年,,武政文〔2019〕208号,6346,,,,,15-25,2.2-2.5,,≥30,,,,,,,,360,,1800,,10,,,,,,,,,,潘女士、童先生,龙岩市公共资源交易中心有限公司武平分公司,中国建设银行股份有限公司武平支行|武平农村信用合作联社营业部|泉州银行股份有限公司武平支行|中国邮政储蓄银行股份有限公司武平县支行,35050169740709188888；|9090610010010000097292；|0000014652956012；|935001010010930012,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c07c8aa3-fed0-4c72-bc55-e19b33f92944&CategoryNum=084002,aeb49e49ea683dc2d62c62f8ccdc0cd5
武平县自然资源局国有土地使用权拍卖出让公告,2019/11/13,武平县自然资源局国有土地使用权拍卖出让公告,武自然告字〔2019〕20号,,出让公告,P2019-8,,,,商服用地-零售商业用地（商场、商店，不含商业办公）住宅用地-城镇住宅用地（普通商品房）,,商服40年住宅70年,,武政文〔2019〕208号,1294,,,,,35-50,2.2-2.5,,5月8日,,,,,,,,152,,760,,10,,,,,,,,,,潘女士、童先生,龙岩市公共资源交易中心有限公司武平分公司,中国建设银行股份有限公司武平支行|武平农村信用合作联社营业部|泉州银行股份有限公司武平支行|中国邮政储蓄银行股份有限公司武平县支行,35050169740709188888；|9090610010010000097292；|0000014652956012；|935001010010930012,,,,2020/5/21,https://www.lyggzy.com.cn/lyztb/InfoDetail/?InfoID=c07c8aa3-fed0-4c72-bc55-e19b33f92944&CategoryNum=084002,aeb49e49ea683dc2d62c62f8ccdc0cd5
