文件标题,发布时间,正文标题,公告类型,地块坐落,四至,土地现状,出让土地面积,土地用途,容积率,建筑系数,建筑密度,绿地率,建筑限高,准入产业类别,投资强度,出让年限,起始价,保证金,保证金到账截止时间,报名截止时间,公告期,挂牌时间,挂牌地点,增价幅度,联系单位,联系人,联系电话,爬取地址url,唯一标识,
津辰双（挂）G2019-018号等2宗地块国有建设用地使用权挂牌出让公告,2019-12-18,津辰双（挂）G2019-018号等2宗地块国有建设用地使用权挂牌出让公告,出让公告,,,,,,,,,,,,,,,,,,2019年12月18日至2020年1月6日,2020年1月7日至2020年1月16日,,10万元或10万元的整数倍,天津市规划和自然资源局北辰分局,李先生 ,（022）86988992,2020-05-08 14:20:34,http://218.69.100.10/news.aspx?id=1020335,b8515a9c1bb6f220d800976cc5d6642e,
津东晨(挂)2019-150号地块国有建设用地使用权的公开挂牌出让公告,2019-12-19,天津市国有建设用地使用权挂牌出让公告,出让公告,河东区晨阳道与靖江路交口，其,东至靖江路，南至广东山庄路，西至十六幼、红星路，北至晨阳道(以挂牌出让文件附图为准),,60495.5平方米,城镇住宅用地、商服用地、公共设施用地,,,,,,,,城镇住宅用地70年,255000万元,51000万元,2020年1月15日16:30,2020年1月15日17:30,2019年12月19日至2020年1月7日,2020年1月8日至2020年1月17日下午14：30在天津土地交易中心交易大厅电子显示屏幕进行挂牌,,100万元或100万元的整数倍,天津市规划和自然资源局河东规划分局,王女士,（022）23195961,2020-05-08 14:20:36,http://218.69.100.10/news.aspx?id=1020450,663075f39edc546252919801be929696,
津辰淀（挂）2019-021号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-23,天津市国有建设用地使用权挂牌出让公告,出让公告,,东至尚佳路，南至北辰东道，西至东风路，北至崇礼道（以挂牌出让文件附图为准），地块范围内自东北向西南方向存在35KV现状高压线，国网天津市电力公司城东供电分公司承诺在2020年2月15日之前完成切改工作,,,城镇住宅、商服,,,,,,,,城镇住宅70年、商服40年,86980万元,86980万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月20日至2020年1月8日,2020年1月9日至2020年1月22日14:30,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,,晨女士 ,（022） 86988992,2020-05-08 14:20:39,http://218.69.100.10/news.aspx?id=1020531,e73576e445f60df8cf401e5694a2e861,
津辰淀（挂）2019-022号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-23,天津市国有建设用地使用权挂牌出让公告,出让公告,,东至尚梅路，南至北辰东道，西至尚佳路，北至崇礼道（以挂牌出让文件附图为准），地块范围内存在35KV现状高压线，国网天津市电力公司城东供电分公司承诺在2020年2月15日之前完成切改工作,,,城镇住宅、商服、交通服务场站,,,,,,,,城镇住宅70年、商服40年、交通服务场站50年,56172万元,56172万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月20日至2020年1月8日,2020年1月9日至2020年1月22日14:50,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,,晨女士 ,（022） 86988992,2020-05-08 14:20:42,http://218.69.100.10/news.aspx?id=1020532,4fed6e2382109ab5402aa49b3d0cf836,
津西怒（挂）2019-149号地块国有建设用地使用权出让公告,2019-12-24,天津市国有建设用地使用权挂牌出让公告,出让公告,河西区内江路与规划东江道交口西南角，其,东至内江路，南至规划岩峰道，西至规划怒海路，北至规划东江道(以挂牌出让文件附图为准),,25215.4平方米,城镇住宅、商服,,,,,,,,,116000万元,40000万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月23日至2020年1月12日,2020年1月13日至2020年1月22日下午15：10在天津土地交易中心交易大厅电子显示屏幕进行挂牌,,1000万元或1000万元的整数倍,天津市规划和自然资源局河西分局,陶先生,（022）23195960,2020-05-08 14:20:43,http://218.69.100.10/news.aspx?id=1020558,dff1d4eeec9aa005eb052971f2703f8f,
津武（挂）2019-055号地块补充公告,2019-12-26,津武（挂）2019-055号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:20:46,http://218.69.100.10/news.aspx?id=1020731,884ebd24755ad968111dd8011b93ef7f,
津武（挂）2019-055号地块公示,2019-12-30,津武（挂）2019-055号地块公示,地块公示,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:20:48,http://218.69.100.10/news.aspx?id=1020954,f157ca09c0d5231d15f7177eea793230,
津西解放（挂）2011-178号地块公告,2019-12-30,津西解放（挂）2011-178号地块公告,地块公告,,,,为105477.6平方米,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:20:51,http://218.69.100.10/news.aspx?id=1020955,a61ccbceae962f2d4c9f25cc667f726c,
津蓟（挂）2019-027号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-31,津蓟（挂）2019-027号宗地国有建设用地使用权的公开挂牌出让公告,出让公告,天津市蓟州区溪水路西侧、义方街北侧，,东至溪水路，南至义方街，西至湖西路，北至远和大街（以挂牌出让文件附图为准），现状场清地平,场清地平,51783.7平方米,城镇住宅、商务金融,不大于1.6,,不大于30%,,,,,城镇住宅70年、商务金融40年,27970万元,7000万元,2020年2月10日16:30,2020年2月10日17:30,2019年12月30日至2020年1月18日,2020年1月19日至2020年2月12日下午14:30,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局蓟州分局,崔先生 ,（022）29182390,2020-05-08 14:20:54,http://218.69.100.10/news.aspx?id=1020999,7b99772b661aa93e7698da17d7c4e4e4,
公    告,2020-01-02,公    告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:20:56,http://218.69.100.10/news.aspx?id=1021064,838d1fc21e5c98b18439f334ccea076e,
津辰张（挂）2019-016号地块补充公告,2020-01-02,津辰张（挂）,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:20:59,http://218.69.100.10/news.aspx?id=1021065,8a611ccb3be0de62dccb1459f46fad19,
津静（挂）G2018-91号地块国有建设用地使用权的公开挂牌出让公告,2020-01-03,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市静海经济开发区岩丰西道西侧,东至岩丰西道，南至天津奔德科技有限公司，西至津沧高速，北至空地（以挂牌文件附图为准）,场清地平，土地权利清晰,40191.2平方米,工业,1.0-1.5,≥35%,≥30%,≤15%,,通用设备制造（拟建其他传动部件制造项目）,≥2400万元人民币/公顷,50年,1580万元,430万元,2020年2月6日16:30,2020年2月6日17:30,2020年1月3日至2020年1月30日,2020年1至2020年2月10日9:30,,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:21:01,http://218.69.100.10/news.aspx?id=1021134,4bb5668f757de81b5f81267de6620f71,
津武（挂）G2019-074号国有建设用地使用权挂牌出让公告,2020-01-13,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市武清区河西务镇规划十五纬路南侧,东至天津通和管道制造有限公司现状厂房，南至规划十六纬路绿带，西至武清区河西务镇四街农民集体现状空地(规划一类工业用地)、武清区河西务镇东西陈庄农民集体现状空地(规划一类工业用地)，北至规划十五纬路绿带（以挂牌文件附图为准）,场清地平、土地权利清晰,20360.8平方米,工业,≥1.0,≥34%,≤55%,20%,,食品制造业（其他方便食品制造）,≥3000万元人民币/公顷,50年,1140万元,300万元,2020年2月11日16:30,2020年2月11日17:30,2020年1月13日至2020年2月2日,2020年2月3日至2020年2月13日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场武清区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局武清分局,沈女士 ,（022）82115031,2020-05-08 14:21:03,http://218.69.100.10/news.aspx?id=1021428,6120328dd24a3986d0d6d0d55065a523,
公    示,2020-01-13,公,,,,,,,,,,,,,,,,,2020年1月13日16：30,2020年1月13日17：30,,,,,,,022-23294601 ,2020-05-08 14:21:06,http://218.69.100.10/news.aspx?id=1021430,aa9b40ef784819544bde8a10e7ce5b67,
公告,2020-01-15,公,,,,,为72358.9平方米,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:09,http://218.69.100.10/news.aspx?id=1021553,fed904013c75c74cf6c32bbf49d73a78,
公告,2020-01-15,公,,,,,为133014.4平方米,,为1.0-2.2,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:11,http://218.69.100.10/news.aspx?id=1021554,268a4d5ccbda830f3e10bbe97386c9d2,
公告,2020-01-16,公告,,,,,,,,,,,,,,,,,收到第一手有效报价当日的16:30,收到第一手有效报价当日的17:30,,,,,,,022-23294601 ,2020-05-08 14:21:14,http://218.69.100.10/news.aspx?id=1021594,9c22364c2041f27a3f7ceb95c3277e49,
津宝（挂）G2018-031 号地块国有建设用地使用权的公开挂牌出让公告,2020-01-16,天津市国有建设用地使用权挂牌出让公告,出让公告,天津宝坻塑料制品工业区福聚路东侧,东至天津市宝坻区土地整理中心用地；南至天津市双鑫锅炉辅机有限公司、天津市乾盛阳光药品销售有限公司用地；西至福聚路；北至天津市宝坻区口东街道王各庄村、天津市宝坻区土地整理中心用地,场清地平、土地权利清晰,11819.7平方米,工业,≥1.0,≥34%,≥55%,20%,40米,专用设备制造业（主要用于环境保护专用设备制造）,≥2385万元人民币/公顷,,450万元,140万元,2020年2月12日16:30,2020年2月12日17:30,2020年1月16日至2020年2月4日,2020年2月5日至2020年2月14日9:50,在市土地交易有形市场交易大厅及市土地交易有形市场宝坻区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宝坻分局,赵先生 ,（022）29998069,2020-05-08 14:21:17,http://218.69.100.10/news.aspx?id=1021595,a2397f03b6655fe0d7b5b04e2b8124bb,
公示,2020-01-19,公 示,,,,,30272.2平方米,,,,,,,,,,,,,,,,,,,肖女士,（022）23195957,2020-05-08 14:21:18,http://218.69.100.10/news.aspx?id=1021669,e3a634c5ebe7f9e482970c6ae34f11b3,
津静（挂）G2019-33号地块国有建设用地使用权的公开挂牌出让公告,2020-01-19,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市静海区双塘高档五金产业园内崔杨路北侧,东至经规划路四，南至崔杨路，西至天津华源时代金属制品有限公司，北至纬规划路一（以挂牌文件附图为准）,场清地平，土地权利清晰,8667.5平方米,工业,≥0.9,≥35%,≥35%,≤20%,,金属制品业（主要用于金属丝绳及其制品制造项目）,≥2400万元人民币/公顷,50年,270万元,80万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月19日至2020年2月9日,2020年2月10日至2020年2月20日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场静海区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:21:20,http://218.69.100.10/news.aspx?id=1021670,3740e4aac5505895b430fb0a0bc0924d,
津宁（挂）G2019-14号、津宁（挂）G2019-15号两宗地块国有建设用地使用权的公开挂牌出让公...,2020-01-19,天津市国有建设用地使用权挂牌出让公告,,,,,,,,,,,,,,,,,2020年2月18日16:30,2020年2月18日17:30,2020年1月19日至2020年2月9日,2020年2月10日至2020年2月20日,,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,金女士 ,（022）69118513,2020-05-08 14:21:22,http://218.69.100.10/news.aspx?id=1021680,4f7fb1a3ff496e8515e5583d47c217fc,
津静（挂）G2019-18号地块国有建设用地使用权的公开挂牌出公告,2020-01-20,天津市国有建设用地使用权挂牌出让公告,,天津市静海区唐官屯加工物流区,东至空地，南至四纬路，西至西环路，北至天津正宇重工科技有限公司（以挂牌文件附图为准）,场清地平，土地权利清晰,13240.2平方米,工业,≥1.0,≥35%,≥35%,≤20%,,其他制造业（主要用于鬃毛加工、制刷及清扫工具制造项目）,≥2400万元人民币/公顷,50年,420万元,120万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月20日至2020年2月9日,2020年2月10日至2020年2月20日10：00,,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,郝女士 ,（022）68962614,2020-05-08 14:21:25,http://218.69.100.10/news.aspx?id=1021719,aad6047077df94cf067e8a49f8b022fe,
公示,2020-01-21,公,,,,,,,,,,,,,,,,,2020年1月20日16：30,2020年1月20日17：30,,,,,,,022-23294601 ,2020-05-08 14:21:28,http://218.69.100.10/news.aspx?id=1021784,450d1b7bed217e099eb1fcd32eb692fa,
津静（挂）G2019-39号地块国有建设用地使用权的公开挂牌出让公告,2020-01-22,,出让公告,天津市静海区子牙循环经济区新津涞公路西侧,东至新津涞公路，南至空地，西至空地，北至园区九号路（以挂牌文件附图为准）,场清地平，土地权利清晰,40023.1平方米,工业,≥0.9,≥34%,≥50%,≤20%,,废弃资源综合利用业（拟建金属废料和碎屑加工处理项目）,≥2400万元人民币/公顷,50年,1740万元,470万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月22日至2020年2月10日,2020年2月11日至2020年2月20日10:10,在市土地交易有形市场交易大厅及市土地交易有形市场静海区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局静海分局,刘女士 ,（022）68962614,2020-05-08 14:21:30,http://218.69.100.10/news.aspx?id=1021805,3c7ab9aaa7314d8488909e45f2d13228,
津宁（挂）G2019-16号地块国有建设用地使用权的公开挂牌出让公告,2020-01-22,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宁河区潘庄工业区,东至规划六经路，南至规划水厂路，西至空地，北至天津中技桩业有限公司（以挂牌文件附图为准）,场清地平、土地权利清晰,37383.0平方米,工业,≥0.8,≥35%,≥30%,20%,,金属制品业（主要用于以铁、钢或铝等金属为主要材料,≥2025万元人民币/公顷,50年,600万元,200万元,2020年2月18日16:30,2020年2月18日17:30,2020年1月22日至2020年2月10日,2020年2月11日至2020年2月20日10:20,在市土地交易有形市场交易大厅及市土地交易有形市场宁河区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,金女士 ,（022）69118513,2020-05-08 14:21:32,http://218.69.100.10/news.aspx?id=1021806,35d21e24c68bcc65d523f96879a3df73,
公告,2020-01-23,公告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:35,http://218.69.100.10/news.aspx?id=1021833,79f41693135b17831eb5be8269499ad2,
津西青（挂）G2020-01号地块国有建设用地使用权的公开挂牌出让公告,2020-01-23,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市西青区精武镇慧深道以南,东至学府西路，南至创源道，西至现状地块，北至慧深道（以挂牌文件附图为准）,场清地平、土地权利清晰,44069.3平方米,工业,1.0-1.5,≥35%,≥55%,20%,80米,电梯、自动扶梯及升降机制造,≥7488万元人民币/公顷,50年,4800万元,960万元,2020年2月19日16:30,2020年2月19日17:30,2020年1月23日至2020年2月11日,2020年2月12日至2020年2月21日9:40,在市土地交易有形市场交易大厅及市土地交易有形市场西青区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局西青分局,张先生 ,（022）27931668,2020-05-08 14:21:37,http://218.69.100.10/news.aspx?id=1021834,04484b69988b47b9693f640273eb1453,
津蓟（挂）2019-040号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-09,津蓟（挂）2019-040号宗地国有建设用地使用权的公开挂牌出让公告,出让公告,天津市蓟州区溪水路西侧、远和大街北侧，,东至溪水路，南至远和大街，西至湖西路，北至俱扬街（以挂牌出让文件附图为准），现状场清地平,场清地平,45046.9平方米,城镇住宅、商务金融,不大于1.6,,不大于30%,,,,,城镇住宅70年、商务金融40年,20280万元,5070万元,2020年1月6日16:30,2020年1月6日17:30,2019年12月9日至2019年12月29日,2019年12月30日至2020年1月8日下午15:10,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局蓟州分局,崔先生 ,（022）29182390,2020-05-08 14:21:40,http://218.69.100.10/news.aspx?id=1019881,4f1db1523e43b6b3106c71f5e86f0bb8,
津蓟集（挂）2019-010号、津蓟集（挂）2019-011号、津蓟集（挂）2019-012号、津蓟...,2019-12-11,津蓟集（挂）2019-010号、津蓟集（挂）2019-011号、津蓟集（挂）2019-012号、津蓟...,,,,,,,,,,,,,,,,,,,2019年12月11日至2019年12月30日,2019年12月31日至2020年1月9日,,10万元或10万元的整数倍,天津市规划和自然资源局蓟州分局,刘先生 ,（022）29182390,2020-05-08 14:21:42,http://218.69.100.10/news.aspx?id=1019942,eaf66b75f3408dd299eaf53790137480,
公  告,2019-12-11,公  告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:43,http://218.69.100.10/news.aspx?id=1020050,fced363a8ef9b5c5e69f3429ea20a6a1,
补充公告,2019-12-13,补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:45,http://218.69.100.10/news.aspx?id=1020146,f3c41cf01212430625185d90845c2775,
津武（挂）2019-072号地块补充公告,2019-12-13,津武（挂）2019-072号地块补充公告,补充公告,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:48,http://218.69.100.10/news.aspx?id=1020150,64a198247dcaeff27c9ae552701052ab,
公告,2019-12-16,公告,,,,,,,,,,,,,,,,,,,,,,,,,022-23294601 ,2020-05-08 14:21:50,http://218.69.100.10/news.aspx?id=1020234,ac6d509c9b2d8070cd51d2d2723230b3,
津宁（挂）G2019-13号地块国有建设用地使用权挂牌出让公告,2019-12-18,天津市国有建设用地使用权挂牌出让公告,出让公告,天津市宁河区现代产业区,东至天津确立科技发展有限公司，南至规划敏捷路，西至空地，北至博美雅科技（天津）有限公司（以挂牌文件附图为准）,场清地平、土地权利清晰,15954.2平方米,工业,≥0.8,≥35%,≥30%,20%,,通用设备制造业（主要用于其他金属加工机械制造）,≥2290万元人民币/公顷,50年,600万元,200万元,2020年1月14日16:30,2020年1月14日17:30,2019年12月18日至2020年1月6日,2020年1月7日至2020年1月16日9:30,在市土地交易有形市场交易大厅及市土地交易有形市场宁河区交易厅电子显示屏幕进行挂牌，并接受报价（法定节假日除外）,10万元或10万元的整数倍,天津市规划和自然资源局宁河分局,杨女士 ,（022）69118513,2020-05-08 14:21:55,http://218.69.100.10/news.aspx?id=1020330,74b1490998259ce7d3bcf7e7b402c793,
津辰双（挂）G2019-018号等2宗地块国有建设用地使用权挂牌出让公告,2019-12-18,津辰双（挂）G2019-018号等2宗地块国有建设用地使用权挂牌出让公告,出让公告,,,,,,,,,,,,,,,,,,2019年12月18日至2020年1月6日,2020年1月7日至2020年1月16日,,10万元或10万元的整数倍,天津市规划和自然资源局北辰分局,李先生 ,（022）86988992,2020-05-08 14:21:55,http://218.69.100.10/news.aspx?id=1020335,b8515a9c1bb6f220d800976cc5d6642e,
津东晨(挂)2019-150号地块国有建设用地使用权的公开挂牌出让公告,2019-12-19,天津市国有建设用地使用权挂牌出让公告,出让公告,河东区晨阳道与靖江路交口，其,东至靖江路，南至广东山庄路，西至十六幼、红星路，北至晨阳道(以挂牌出让文件附图为准),,60495.5平方米,城镇住宅用地、商服用地、公共设施用地,,,,,,,,城镇住宅用地70年,255000万元,51000万元,2020年1月15日16:30,2020年1月15日17:30,2019年12月19日至2020年1月7日,2020年1月8日至2020年1月17日下午14：30在天津土地交易中心交易大厅电子显示屏幕进行挂牌,,100万元或100万元的整数倍,天津市规划和自然资源局河东规划分局,王女士,（022）23195961,2020-05-08 14:21:58,http://218.69.100.10/news.aspx?id=1020450,663075f39edc546252919801be929696,
津辰淀（挂）2019-021号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-23,天津市国有建设用地使用权挂牌出让公告,出让公告,,东至尚佳路，南至北辰东道，西至东风路，北至崇礼道（以挂牌出让文件附图为准），地块范围内自东北向西南方向存在35KV现状高压线，国网天津市电力公司城东供电分公司承诺在2020年2月15日之前完成切改工作,,,城镇住宅、商服,,,,,,,,城镇住宅70年、商服40年,86980万元,86980万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月20日至2020年1月8日,2020年1月9日至2020年1月22日14:30,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,,晨女士 ,（022） 86988992,2020-05-08 14:21:59,http://218.69.100.10/news.aspx?id=1020531,e73576e445f60df8cf401e5694a2e861,
津辰淀（挂）2019-022号宗地国有建设用地使用权的公开挂牌出让公告,2019-12-23,天津市国有建设用地使用权挂牌出让公告,出让公告,,东至尚梅路，南至北辰东道，西至尚佳路，北至崇礼道（以挂牌出让文件附图为准），地块范围内存在35KV现状高压线，国网天津市电力公司城东供电分公司承诺在2020年2月15日之前完成切改工作,,,城镇住宅、商服、交通服务场站,,,,,,,,城镇住宅70年、商服40年、交通服务场站50年,56172万元,56172万元,2020年1月20日16:30,2020年1月20日17:30,2019年12月20日至2020年1月8日,2020年1月9日至2020年1月22日14:50,在市土地交易有形市场交易大厅电子显示屏幕（天津市和平区曲阜道88号）进行挂牌，并接受报价（法定节假日除外）,100万元或100万元的整数倍,,晨女士 ,（022） 86988992,2020-05-08 14:22:03,http://218.69.100.10/news.aspx?id=1020532,4fed6e2382109ab5402aa49b3d0cf836,
