城市,行政区,供应公告标题,公告编号,公告类型,发布时间,网上创建时间,宗地编号：,宗地总面积：,宗地坐落：,出让年限：,容积率：,建筑密度(%)：,绿化率(%)：,建筑限高(米)：,主要用途：,明细用途,用途名称,面积,投资强度：,保证金：,估价报告备案号,起始价：,加价幅度：,挂牌开始时间：,挂牌截止时间：,受让单位,地块位置,土地用途,成交价(万元),土地面积(公顷),提交书面申请地,缴纳竞买保证金截止时间,确认竞买资格时间,拍卖开始时间,拍卖挂牌进行地点,联系地址,联系人,联系电话,开户单位,开户银行,银行账号,内容链接,主键MD5,爬取时间
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(丰)[2020]012号),(丰)[2020]012号),挂牌,2020/3/27,2020/3/26,京土整储挂(顺)[2020]014号,57706.7平方米,北京市顺义区顺义新城第13街区SY00-0013-6039等地块二类居住用地、康复护理用地和医院用地,70年,等于1.5,,,,城镇住宅用地,,城镇住宅用地,13400,万元/公顷,28500万元,1105220BA0007,142400万元,750万元,2020年04月23土09时00分,2020年05月09土15时00分,,,,,,北京市土地交易市场,2020年05月08土15时00分,2020年05月08土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=bab64ee3-fc31-4389-aed6-67ef28ed5205&sitePath=,2d2975c27c7f97c5258b15f2131a47e4,2020-04-22 16:40:28
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]009号),(朝)[2020]009号),挂牌,2020/3/27,2020/3/26,京土整储挂(朝)[2020]009号,26609.75平方米,北京市朝阳区东坝乡东风村1104-611地块F1住宅混合公建用地,70年,等于3,,,,城镇住宅用地,,城镇住宅用地,26609.75,万元/公顷,64200万元,1104119BA0053,320600万元,1600万元,2020年04月16土09时00分,2020年04月29土15时00分,,,,,,北京市土地交易市场,2020年04月28土15时00分,2020年04月28土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-555950209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=45bf66eb-45a9-4168-b03d-781d0ab52e5d&sitePath=,1da70fabbfc2d8fa770717ffd5a8786b,2020-04-22 16:40:31
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]009号),(朝)[2020]009号),挂牌,2020/3/27,2020/3/26,京土整储挂(兴)[2020]010号,39577.683平方米,北京市大兴区西红门镇B1-05-(2)地块R2二类居住用地、B2-02地块S4社会停车场用地,70年,等于1.91,,,,城镇住宅用地,,城镇住宅用地,3600,万元/公顷,55000万元,1104220FA0002,273800万元,1400万元,2020年04月16土09时00分,2020年04月29土15时00分,,,,,,北京市土地交易市场,2020年04月28土15时00分,2020年04月28土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-555950209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=45bf66eb-45a9-4168-b03d-781d0ab52e5d&sitePath=,1da70fabbfc2d8fa770717ffd5a8786b,2020-04-22 16:40:31
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(朝)[2020]009号),(朝)[2020]009号),挂牌,2020/3/27,2020/3/26,京土整储挂(兴)[2020]011号,45081.987平方米,北京市大兴区西红门镇B1-05-(3)地块R2二类居住用地,70年,等于2.1,,,,城镇住宅用地,,城镇住宅用地,45081.9870,万元/公顷,72600万元,1102620BA0004,363000万元,1900万元,2020年04月16土09时00分,2020年04月29土15时00分,,,,,,北京市土地交易市场,2020年04月28土15时00分,2020年04月28土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-555950209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=45bf66eb-45a9-4168-b03d-781d0ab52e5d&sitePath=,1da70fabbfc2d8fa770717ffd5a8786b,2020-04-22 16:40:31
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（房）[2020]008号),(京土整储挂（房）[2020]008号),挂牌,2020/3/20,2020/3/19,京土整储挂（房）[2020]008号,56727.74平方米,房山区良乡镇,70年,等于2.36,,,,城镇住宅用地,,城镇住宅用地,12829.89,万元/公顷,28000万元,1100519BB0010,139000万元,700万元,2020年04月09土09时00分,2020年04月23土15时00分,,,,,,北京市土地交易市场,2020年04月22土15时00分,2020年04月22土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595209,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=d2e6365c-56a9-4193-88de-3eddd2fff3e7&sitePath=,d1cbc7b9d1eec5f6473aa3dc86f34d9c,2020-04-22 16:40:35
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(密)[2020]006号),(密)[2020]006号),挂牌,2020/3/12,2020/3/12,京土整储挂(密)[2020]006号,121639.583平方米,北京市密云区密云经济开发区三期A1地块MY00-0302-6010等地块R2二类居住用地、A33基础教育用地,70年,等于1.59,,,,城镇住宅用地,,教育用地,116597.0150,万元/公顷,37000万元,1108619BA0013,185000万元,950万元,2020年04月01土09时00分,2020年04月16土15时00分,,,,,,北京市土地交易市场,2020年04月15土15时00分,2020年04月15土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=d4691960-08a7-4f91-84b3-b314db3c560c&sitePath=,b194b8d9c9e5021eba7ba3ad80e1f810,2020-04-22 16:40:39
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂(密)[2020]006号),(密)[2020]006号),挂牌,2020/3/12,2020/3/12,京土整储挂(密)[2020]007号,64531.282平方米,北京市密云区檀营乡6023地块R2二类居住用地、6024地块A33基础教育用地,70年,等于1.93,,,,城镇住宅用地,,教育用地,60630.9090,万元/公顷,30000万元,1103719BA0029,149600万元,750万元,2020年04月01土09时00分,2020年04月16土15时00分,,,,,,北京市土地交易市场,2020年04月15土15时00分,2020年04月15土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=d4691960-08a7-4f91-84b3-b314db3c560c&sitePath=,b194b8d9c9e5021eba7ba3ad80e1f810,2020-04-22 16:40:39
北京市,大兴区,北京市规划和自然资源委员会大兴分局国有土地使用权挂牌出让公告(京土整储挂（兴）工业[2020]001号),(京土整储挂（兴）工业[2020]001号),挂牌,2020/3/6,2020/3/6,DX00-0502-6014-3,11276.71平方米,大兴生物医药产业基地,20年,小于或等于1.5,,,,工业用地,,工业用地,11276.71,万元/公顷,250万元,,1211.817万元,10万元,2020年03月06土09时00分,2020年03月25土17时00分,,,,,,北京市大兴区金华寺东路1号,2020年04月08土15时00分,2020年04月08土17时00分,,北京市土地交易市场大兴分市场,北京市大兴区金华寺东路1号,,69261062,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=33667820-c8e5-4698-b6e2-c4da570a0a95&sitePath=,ac4ebcbe4f56e97752a1046c99c5db14,2020-04-22 16:40:42
北京市,北京市本级,北京经济技术开发区开发建设局国有土地使用权挂牌出让公告(京开国土挂[2020]02号),(京开国土挂[2020]02号),挂牌,2020/3/6,2020/3/5,北京经济技术开发区路南区N5M4地块,34995.92平方米,北京经济技术开发区路南区N5M4地块,20年,小于或等于2.37,小于或等于40,小于或等于15,小于或等于45,工业用地,,工业用地,34995.92,万元/公顷,1000万元,,4868.597371万元,85万元,2020年03月26土09时00分,2020年04月09土15时00分,,,,,,北京经济技术开发区荣华百路15号朝林大厦C1507,2020年04月08土15时00分,2020年04月08土15时00分,,北京经济技术开发区荣华百路15号朝林大厦C1507,北京经济技术开发区荣华百路15号朝林大厦C1507,,67881796,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ca545bef-24ab-4996-9fb2-a4b7473225a7&sitePath=,018d902ca16f419e365f4db015ce54cd,2020-04-22 16:40:44
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（朝）[2020]002号),(京土整储挂（朝）[2020]002号),挂牌,2020/2/28,2020/2/27,京土整储挂（昌）[2020]005号,12501.506平方米,北京市昌平区朱辛庄新区（二期）土地一级开发项目ZXZ-010地块F3其他类多功能用地,40年,等于3,,,,其他商服用地,,其他商服用地,12501.5060,万元/公顷,11200万元,1105020BB0001,56000万元,280万元,2020年03月19土09时00分,2020年04月02土15时00分,,,,,,北京市土地交易市场,2020年04月01土15时00分,2020年04月01土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ff6a48e3-6511-4735-a151-5d782d4493ee&sitePath=,3325fdf73b80a6b26685844320a0029c,2020-04-22 16:40:48
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（朝）[2020]002号),(京土整储挂（朝）[2020]002号),挂牌,2020/2/28,2020/2/27,京土整储挂（朝）[2020]002号,95961.764平方米,北京市朝阳区金盏乡小店村3005-02、3005-08地块R2二类居住用地,70年,等于1.3,,,,城镇住宅用地,,城镇住宅用地,95961.7640,万元/公顷,127500万元,1108619BB0014,636300万元,3200万元,2020年03月19土09时00分,2020年04月02土15时00分,,,,,,北京市土地交易市场,2020年04月01土15时00分,2020年04月01土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ff6a48e3-6511-4735-a151-5d782d4493ee&sitePath=,3325fdf73b80a6b26685844320a0029c,2020-04-22 16:40:48
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（朝）[2020]002号),(京土整储挂（朝）[2020]002号),挂牌,2020/2/28,2020/2/27,京土整储挂（朝）[2020]003号,80892.994平方米,北京市朝阳区金盏乡小店村3005-12地块R2二类居住用地、3005-14地块A33基础教育用地、3005-15地块A22文化活动用地、3005-17地块A8社区综合服务设施用地,70年,等于1.39,,,,城镇住宅用地,,城镇住宅用地,9000,万元/公顷,92000万元,1108619BB0014,460000万元,2300万元,2020年03月19土09时00分,2020年04月02土15时00分,,,,,,北京市土地交易市场,2020年04月01土15时00分,2020年04月01土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ff6a48e3-6511-4735-a151-5d782d4493ee&sitePath=,3325fdf73b80a6b26685844320a0029c,2020-04-22 16:40:48
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（朝）[2020]002号),(京土整储挂（朝）[2020]002号),挂牌,2020/2/28,2020/2/27,京土整储挂（朝）[2020]004号,7289.19平方米,北京市朝阳区望京花家地西里三组团配套综合楼1006-605地块B4商业金融用地,40年,等于3,,,,其他商服用地,,其他商服用地,7289.19,万元/公顷,7100万元,1109220BB0001,35200万元,180万元,2020年03月19土09时00分,2020年04月02土15时00分,,,,,,北京市土地交易市场,2020年04月01土15时00分,2020年04月01土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595193,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=ff6a48e3-6511-4735-a151-5d782d4493ee&sitePath=,3325fdf73b80a6b26685844320a0029c,2020-04-22 16:40:48
北京市,北京市本级,北京经济技术开发区开发建设局国有土地使用权挂牌出让公告(京开国土挂[2020]01号),(京开国土挂[2020]01号),挂牌,2020/2/21,2020/2/20,北京经济技术开发区路东区E7M1地块,30911.9平方米,北京经济技术开发区路东区E7M1地块,20年,小于或等于1.7,小于或等于40,小于或等于15,小于或等于45,工业用地,,工业用地,30911.90,万元/公顷,800万元,,3815.146698万元,60万元,2020年03月12土09时00分,2020年03月26土15时00分,,,,,,北京经济技术开发区荣华百路15号朝林大厦1507房间,2020年03月25土15时00分,2020年03月25土15时00分,,北京经济技术开发区荣华百路15号朝林大厦15层北京市土地交易市场经济技术开发区分市场,北京经济技术开发区荣华百路15号朝林大厦1507房间,,67881796,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=7da6b2f6-9f8a-4cd5-91e8-36ed0cd3f8a3&sitePath=,b8814e51377a0eea9542bc3bfa59cafe,2020-04-22 16:40:57
北京市,北京市本级,北京市规划和自然资源委员会国有土地使用权挂牌出让公告(京土整储挂（海）[2020]001号),(京土整储挂（海）[2020]001号),挂牌,2020/1/22,2020/1/22,京土整储挂（海）[2020]001号,67309.96平方米,北京市海淀区“海淀北部地区整体开发”西北旺镇HD00-0403-0061、0050、0031、0040、0046地块二类居住、其他类多功能、医院及机构养老设施用地,70年,等于2.42,,,,城镇住宅用地,,城镇住宅用地,3900,万元/公顷,121000万元,1103819BA0030,603400万元,3000万元,2020年02月11土09时00分,2020年02月25土15时00分,,,,,,北京市土地交易市场,2020年02月24土15时00分,2020年02月24土15时00分,,北京市土地交易市场,北京市丰台区西三环南路1号市公共资源交易综合分平台五层,,010-55595197,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=54813ac7-3cd7-4e6d-8d3c-c82128c587a4&sitePath=,b792ead5c1773a0478a48ee83a7f947b,2020-04-22 16:41:05
北京市,平谷区,北京市规划和自然资源委员会平谷分局国有土地使用权挂牌出让公告(京土整储挂（平）工业[2020]001号),(京土整储挂（平）工业[2020]001号),挂牌,2020/1/15,2020/1/15,京土整储挂（平）工业[2020]001号,30231.139平方米,北京市平谷区兴谷开发区,20年,等于1,,大于或等于15,小于或等于18,工业用地,,工业用地,30231.1390,10000万元/公顷,600万元,1105019BA0063,2817.03万元,10万元,2020年01月15土09时00分,2020年02月17土15时00分,,,,,,北京市土地整理储备百心平谷区分百心,2020年02月04土09时00分,2020年02月17土15时00分,,北京市土地交易市场平谷区分市场,北京市平谷区林荫北街5号,刘蕊,010-69961535,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=75c6981a-9c19-4150-80de-0d655ec2baf3&sitePath=,b1f6378f55b17e4ae2720b067736cc8b,2020-04-22 16:41:08
北京市,顺义区,北京市规划和自然资源委员会顺义分局国有土地使用权挂牌出让公告(京土整储挂顺[2020]001号),(京土整储挂顺[2020]001号),挂牌,2020/1/14,2020/1/14,京土整储挂（顺）【2020】001号,46700平方米,百关村顺义园临空国际板块,20年,大于或等于0.8并且小于或等于2,,,,工业用地,,工业用地,46700,万元/公顷,1220万元,1101019BA0028,,,2020年02月04土09时00分,2020年02月18土15时00分,,,,,,北京市顺义区仓工街11号,2020年02月18土15时00分,2020年02月18土15时00分,,北京市规划和自然资源委员会顺义分局,,,,,,,https://www.landchina.com//DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=f23c6c8f-b168-4c5f-b566-ff579ec3370b&sitePath=,85d465978bc320ca1646a0469d611928,2020-04-22 16:41:12
