文件标题,信息时间,正文标题,公告序号,宗地编号/编号,地块位置,土地用途/用途,土地面积(平方米)/土地面积(m2)/出让面积(m),容积率,建筑密度(%),绿地率(%),保证金(万元),底价(万元),计容建筑面积(m2),出让方式,出让年限,成交价(万元)/成交价,受让单位,土地使用条件,交易时间,成交人,备注,联系单位,联系地址,联系电话,公示期,爬取时间,爬取地址url,唯一标识
两江新区两路组团I分区I47-1、I47-2地块（20027）,2020/4/20,两江新区两路组团I分区I47-1、I47-2地块（20027）,20027,,两江新区两路组团I分区I47-1、I47-2地块,二类居住用地|为二类居住用地,93451.8,,,,,,≤115962.74,拍卖,,65900,重庆尖置房地产有限公司,土地用途为二类居住用地,2020/4/17,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200420/9f0553a1-d7f4-4b4f-978e-5d16948ccff7.html,22d1128e8ba39a903f7d1abd62ac33a3
重庆市梁平区国有建设用地使用权 （LP-1-398）土地出让成交公示,2020/3/31,重庆市梁平区国有建设用地使用权 （LP-1-398）土地出让成交公示,,LP-1-398,,商业用地,,,,,,,,,,5170,重庆新梁投资开发（集团）有限公司,,,,,,,023-53230693,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200403/3025a06a-ad92-48da-a5ec-d9bd2894c46e.html,be276455a471513f2a2048ce652a1fc5
重庆市梁平区国有建设用地使用权 （LP-1-399）土地出让成交公示,2020/3/31,重庆市梁平区国有建设用地使用权 （LP-1-399）土地出让成交公示,,LP-1-399,,商住用地,,,,,,,,,,6700,重庆新梁投资开发（集团）有限公司,,,,,,,023-53230693,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200403/2cc4df66-e60f-4486-bfb6-d9877c506718.html,94fc9afcbc83dff162dbbd11a4b5ba09
北碚区蔡家组团H标准分区H25-01/05地块、H26-01/05地块（20022）,2020/4/1,北碚区蔡家组团H标准分区H25-01/05地块、H26-01/05地块（20022）,20022,,北碚区蔡家组团H标准分区H25-01/05地块、H26-01/05地块,二类居住用地|为二类居住用地,75661,,,,,,≤113491.5,拍卖,,79500,成都永进合能房地产有限公司、成都永行力企业咨询服务有限公司,土地用途为二类居住用地,2020/3/31,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200401/8dc806ec-7114-4cb2-8d9a-5b44551c82e1.html,9e1247ffa1be54d13059b5098b9ac1ef
九龙坡区中梁山组团L分区L16-01/04地块（20023）,2020/4/1,九龙坡区中梁山组团L分区L16-01/04地块（20023）,20023,,九龙坡区中梁山组团L分区L16-01/04地块,二类居住用地|为二类居住用地,19501,,,,,,≤29251,拍卖,,17900,中交地产股份有限公司、重庆和美建设项目管理合伙企业（有限合伙）,土地用途为二类居住用地,2020/3/31,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200401/e4f5487c-5980-413b-83e9-05f55bd27292.html,99b8d3f6b68a0927e3795cce74a8c193
九龙坡区西彭组团L分区L26-01-1/04地块 、L26-02-1/04地块（20024）,2020/4/1,九龙坡区西彭组团L分区L26-01-1/04地块 、L26-02-1/04地块（20024）,20024,,九龙坡区西彭组团L分区L26-01-1/04地块 、L26-02-1/04地块,二类居住用地|为二类居住用地,88828,,,,,,≤133242,挂牌,,18761,重庆恒雅旅游开发有限公司,土地用途为二类居住用地,2020/3/31,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200401/cce101bf-bd94-478f-aa1c-62f21606a0d9.html,b0c0bfaad5028c6ebf6b7c3f5837b88c
两江新区水土组团A分区A14-2地块（G20011）,2020/4/1,两江新区水土组团A分区A14-2地块（G20011）,G20011,,两江新区水土组团A分区A14-2地块,一类工业用地,13093.1,1.0≤容积率≤1.5,,,,,,挂牌,,330,重庆云计算投资运营有限公司,产业类别为通信设备、计算机及其他电子设备制造业,2020/3/31,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200401/048b26fa-2fef-4396-8f7a-bd763e9b045f.html,d7b5132e13498356c0ba015d6d82aa85
两江新区水土组团A分区A46-3地块（G20012）,2020/4/1,两江新区水土组团A分区A46-3地块（G20012）,G20012,,两江新区水土组团A分区A46-3地块,一类工业用地,26647.3,1.0≤容积率≤1.5,,,,,,挂牌,,800,重庆远恒迅通数据科技有限公司,产业类别为通信设备、计算机及其他电子设备制造业,2020/3/31,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200401/6925344e-0900-4c0b-bebe-e050908d0d1b.html,f9c3907b2f1910ea29242148e37afe8d
沙坪坝区西永组团Ah标准分区 Ah12-01/04、Ah17-01/04、Ah18-02/04、Ah19-01/04地块（20028）,2020/4/21,沙坪坝区西永组团Ah标准分区 Ah12-01/04、Ah17-01/04、Ah18-02/04、Ah19-01/04地块（20028）,20028,,沙坪坝区西永组团Ah标准分区 Ah12-01/04、Ah17-01/04、Ah18-02/04、Ah19-01/04地块,二类居住用地、商业商务用地|为二类居住用地、商业商务用地,164738,,,,,,≤278806,挂牌,,122890,重庆首创新石置业有限公司、北京首创高科技发展有限公司,土地用途为二类居住用地、商业商务用地,2020/4/20,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200421/61c3c173-8ecb-4372-b6cd-4ff55b1ef584.html,f9c8215d0f23a95abf7be6d9bee98740
潼南工业园区南区C20-02/02号地块成交公示,2020/4/21,潼南工业园区南区C20-02/02号地块成交公示,,TNC2020-9,,工业用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/fa4fe950-4e7e-41f1-8227-569386b23a65.html,4f735a2976d8db5a6eb45cb3a0702c55
潼南工业园区南区C-3-04/02号地块成交公示,2020/4/21,潼南工业园区南区C-3-04/02号地块成交公示,,TNC2020-11,,工业用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/9106062a-1187-4036-bf47-47753c6c12c8.html,de148b650960801ea0197a073212a443
双江五福寺地块二期（S-2）地块成交公示,2020/4/21,双江五福寺地块二期（S-2）地块成交公示,,TNC2020-12,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/353d6527-1a64-43fd-bec4-1ea0282fa736.html,ef9eb36fec9b977e3f0e93b7fca1a09a
农业园区NT2-02/01地块成交公示,2020/4/21,农业园区NT2-02/01地块成交公示,,TNC2020-16,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/567d104a-9b6b-4055-82e4-6f20ff83afa1.html,217f7c367913954a9478d7e71c740c16
双江五福寺地块四期（S-5）地块成交公示,2020/4/21,双江五福寺地块四期（S-5）地块成交公示,,TNC2020-14,,城镇住宅用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/36b6f3ad-ad7b-4e75-a04d-c54557740d10.html,5f3f06824626a583cfa7f40fbbb56032
双江五福寺地块三期（S-3）地块成交公示,2020/4/21,双江五福寺地块三期（S-3）地块成交公示,,TNC2020-13,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/1cc83ba1-8312-4f28-b446-18b73e78de70.html,779ef19d0ae4fd4b6277cfc620b18258
农业园区NT3-02/01地块成交公示,2020/4/21,农业园区NT3-02/01地块成交公示,,TNC2020-18,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/e3aa9cf6-8538-417f-b345-a1b173eb7c29.html,8c2e7824031d877d0bc0e75fa8464a1e
太安镇WJC-01地块成交公示,2020/4/21,太安镇WJC-01地块成交公示,,TNC2020-19,,交通服务站场用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/4c7164b6-462e-4847-bd80-df04f2db8cbd.html,0f398a486e592eadf4354f110fba7784
农业园区NT2-01/01地块成交公示,2020/4/21,农业园区NT2-01/01地块成交公示,,TNC2020-15,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/36055843-47f6-4c8b-b46f-290ae3598f77.html,9f3acea82536146ab691ecf665a10e53
农业园区NT3-01/01地块成交公示,2020/4/21,农业园区NT3-01/01地块成交公示,,TNC2020-17,,其他商服用地,,,,,,,,,,,,按规划要求执行,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200423/16ba3b2d-c996-4529-a8f8-952481cac3f5.html,ce690babeaad690473a7e0c185dee5f5
成交公告,2020/4/23,成交公告,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200424/2b03ecaf-3116-474b-bb00-4afcf0c8cb4f.html,d2c2d876fd795652b0d10602d9f45c3f
合规资告字[2020]8号成交公示,2020/4/23,合规资告字[2020]8号成交公示,,|HC18-115-9,|合川区土场镇,,|66108,,,,,,,,,|26112.66,,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200427/a7f2dc25-d036-489d-8186-702d0b558f9e.html,15d82bd2415158aba9c36824216daffa
南岸区南坪组团K分区K1-9-1/07地块（20029）,2020/4/24,南岸区南坪组团K分区K1-9-1/07地块（20029）,20029,,南岸区南坪组团K分区K1-9-1/07地块,二类居住用地|为二类居住用地,103501,,,,,,≤207002,挂牌,,133102,重庆中梁泽坤恒置业有限公司、重庆海成实业（集团）有限公司,土地用途为二类居住用地,2020/4/24,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200424/97c18b31-d846-4a6b-aafb-348302ccf5ea.html,334ef896de500b28ca254d3166842564
合规资告字[2020]2号成交公示,2020/3/25,合规资告字[2020]2号成交公示,,|HC20-003-1,|合川工业园区核心区,,|86685,,,,,,,,,|1560.33,,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200326/f5ba8af7-e604-407d-8c60-2700cb91c161.html,37540750f94cf2c59e57018b5ae3ffa2
巴南区界石组团D分区D22-1/01（部分1）地块（G20008）,2020/3/16,巴南区界石组团D分区D22-1/01（部分1）地块（G20008）,G20008,,巴南区界石组团D分区D22-1/01（部分1）地块,二类工业用地,68100,0.7≤容积率≤1.5,,,,,,挂牌,,2384,重庆国际生物城开发投资有限公司,产业类别为医药制造业,2020/3/13,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200316/0c8534ea-fdce-433f-9b35-486ac82bf457.html,3137a4c7b716f3397f505139247a3149
1956号国有地使用权招拍挂出让成交结果公布,2020/3/4,1956号国有地使用权招拍挂出让成交结果公布,,1956,万古镇大雄社区2组,工业用地,13386,,,,,,,,50年,160.64,重庆万博电梯部件有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规高字〔2019〕013号）；4、该宗土地出让总价款为160.64万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200326/2f077df2-bc6b-468e-8564-1c3b2f366f03.html,b28875a2a979b20b10a5ae276c325d65
1915号国有地使用权招拍挂出让成交结果公布,2020/3/10,1915号国有地使用权招拍挂出让成交结果公布,,1915,万古镇曹家村,零售商业用地,5408,,,,,,,,40年,692.0263,中国石油天然气股份有限公司重庆永川销售分公司大足经营部,,,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200303/a5120eea-1a27-45d8-bb3c-27fa7a842e44.html,669d0afbbacef19c22df54df8c870c48
渝北区唐家沱组团N分区N1-7-1/02（部分）地块（20013）,2020/3/11,渝北区唐家沱组团N分区N1-7-1/02（部分）地块（20013）,20013,,渝北区唐家沱组团N分区N1-7-1/02（部分）地块,二类居住用地|为二类居住用地,62425,,,,,,≤124850,挂牌,,41950,重庆创新经济走廊开发建设有限公司,土地用途为二类居住用地,2020/3/5,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200311/0daca35e-6298-444a-9e3b-237c1a001dc7.html,4f83dbe864188ad5deea71c52ec55303
渝北区空港组团U分区U04-1/01地块（G20007）,2020/3/11,渝北区空港组团U分区U04-1/01地块（G20007）,G20007,,渝北区空港组团U分区U04-1/01地块,一类工业用地,15555,1.0≤容积率≤1.5,,,,,,挂牌,,1057,重庆金业兴酒业集团有限公司,产业类别为白酒制造业,2020/3/5,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200311/50642be1-b9f8-41c4-8bb1-5e8a67d7e94d.html,ec119e37bfd6f14974384bc119b556ca
两江新区鱼嘴组团M分区M11-2地块、M13地块（20014）,2020/3/11,两江新区鱼嘴组团M分区M11-2地块、M13地块（20014）,20014,,两江新区鱼嘴组团M分区M11-2地块、M13地块,二类居住用地|为二类居住用地,48595.3,,,,,,≤72893,拍卖,,31900,重庆同原房地产开发有限公司、重庆东澄毅励企业管理咨询有限公司、深圳市盛满企业管理有限公司,土地用途为二类居住用地,2020/3/10,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200311/aa199195-fb47-4ab1-835f-4d59d1b4b62b.html,ff4601330d328f29d1228b7d118e1be6
两江新区水土组团C分区C39-1地块（20015）,2020/3/11,两江新区水土组团C分区C39-1地块（20015）,20015,,两江新区水土组团C分区C39-1地块,二类居住用地|为二类居住用地,57761,,,,,,≤80865.4,拍卖,,40700,中交地产股份有限公司、重庆市金科宸居置业有限公司、重庆和美建设项目管理合伙企业（有限合伙）,土地用途为二类居住用地,2020/3/10,,,,,,,2020/4/28 14:55,https://www.cqggzy.com/xxhz/014004/014004004/20200311/770fc3b1-bf2b-470a-a981-19713858bd3a.html,7c98b67bcb31980e9dcc4ab43a9b5744
巴南区云篆山地区组团B分区B2-1/02、B2-2/02、B4/01地块（20016）,2020/3/16,巴南区云篆山地区组团B分区B2-1/02、B2-2/02、B4/01地块（20016）,20016,,巴南区云篆山地区组团B分区B2-1/02、B2-2/02、B4/01地块,二类居住、商业用地|为二类居住、商业用地,79238.6,,,,,,≤118857.9,拍卖,,53600,郑州浩创房地产开发有限公司、重庆创民商贸有限公司,土地用途为二类居住、商业用地,2020/3/13,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200316/6e1b1be3-623c-4141-a379-e8d07576b436.html,860b231534e6a93c8c964e4c658bf0aa
忠县乌杨街道青岭村部分地块成交结果公示,2020/3/17,忠县乌杨街道青岭村部分地块成交结果公示,,|土地面积(平方米)|地块名称|受让单位|成交时间,|出让年限,|成交价(万元),,,,,,,,,,,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200317/3ebe027a-f858-4e18-be00-6719c93aa020.html,77dd32e46ed5669844b57fc64d65121a
海螺二期石灰石矿山破碎站及附属设施地块成交结果公示,2020/3/17,海螺二期石灰石矿山破碎站及附属设施地块成交结果公示,,|土地面积(平方米)|地块名称|受让单位|成交时间,|出让年限,|成交价(万元),,,,,,,,,,,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200317/377cf83b-a3ad-4f6e-8720-8d13185b8491.html,a84948535e2c27dd5ce7a95b62242cfd
垫江县桂阳街道朝阳路东侧1号地块使用权挂牌出让中标公示,2020/3/19,垫江县桂阳街道朝阳路东侧1号地块使用权挂牌出让中标公示,,,,,,,,,,,,,,,,,,,,,,74684675、74684676,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200320/493a57fa-3c53-416c-b413-6452e95ab59f.html,8c78d8c21272a3755f6fe520569ca121
垫江县桂阳街道长安大道南侧东方大道汽车产业园东侧地块使用权挂牌出让中标公示,2020/3/20,垫江县桂阳街道长安大道南侧东方大道汽车产业园东侧地块使用权挂牌出让中标公示,,,,,,,,,,,,,,,,,,,,,,74684675、74684676,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200323/a78cb1a3-c30b-4ff9-a33a-a5cfaec45887.html,f6de9760be30a513ccc66f955f389096
1955号国有地使用权招拍挂出让成交结果公布,2020/3/23,1955号国有地使用权招拍挂出让成交结果公布,,1955,大足工业园区（龙水镇西一社区5组）,工业用地,6331,,,,,,,,50年,111.15,重庆肖氏厨具制造有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规园字〔2019〕015号）；4、该宗土地出让总价款为111.15万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/e3047db2-9d11-4f57-8cd8-88458d1364bf.html,78b127092967bf14db782a42532256ab
1953号国有地使用权招拍挂出让成交结果公布,2020/3/23,1953号国有地使用权招拍挂出让成交结果公布,,1953,,工业用地,6770,,,,,,,,50年,152.25,重庆市大足区盛航塑胶有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规园字〔2019〕017号）；4、该宗土地出让总价款为152.25万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/a2e48896-9f6f-43da-b6ea-507fea68fd40.html,08fb0be248019c5bc329043e5e568619
巫山县WS2020-8号宗地国有土地使用权挂牌出让结果公示,2020/3/23,巫山县WS2020-8号宗地国有土地使用权挂牌出让结果公示,,WS2020-8号,,其他商服用地,,小于或等于0.8,,,,,,,,,,,,,,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200330/6ec52096-0536-4a3a-87b5-d33e94e9d69f.html,0b00fb3516ac623a5f7217342cb661dc
1957号国有地使用权招拍挂出让成交结果公布,2020/3/23,1957号国有地使用权招拍挂出让成交结果公布,,1957,万古镇大雄社区2组,工业用地,13458,,,,,,,,50年,161.52,重庆畅路永通管业有限公司,,,,其他需要说明的宗地情况：1、以上宗地土地用途为二类工业用地（M2）；2、出让年限为工业50年；3、其他指标详见《建设用地规划条件》（足规高字〔2019〕012号）；4、该宗土地出让总价款为161.52万元；5、出让价款中不含土地交易契税。6、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（网址：http://ggzyjy.dazu.gov.cn）发布。,,,,,2020/4/28 14:56,https://www.cqggzy.com/xxhz/014004/014004004/20200326/5e1d46f7-b1a5-437a-a3f4-77ffe8490ab8.html,90b79af145f1774aac7320a2aae7131e
