文件标题,信息时间,土地位置,用途,土地面积(m),总计容建筑面积(m2),最大建筑密度,绿地率,出让价款起始价(万元),投标竞买保证金(万元),编号,产业类别,可建面积(m2)或容积率,投资强度(万元/公顷),产出要求(万元/公顷),备注,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系电话,联系人,爬取时间,爬取地址url,唯一标识
奉节县FJ-03-41号宗地国有建设用地使用权出让公告,2020/4/20,|                  生态工业园区草堂组团                         ,|工业用地,|23041平方米,,,,,,|                  FJ-03-41                 ,,,|                  万元/公顷                 ,,, 2020年4月20日 至 2020年5月12日12时00分前,,2020年4月20日 至 2020年5月12日12时00分前 ,,2020年5月12日12时00分,2020年5月12日12时00分,奉节县公共资源交易中心,交易中心023-56683395,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200420/356c0f38-5103-4d71-a0e6-2cda6d0a3552.html,65e81eda29b45ea2eab7ea0beecce146
南岸区茶园组团D分区D48-1/07地块(公告序号：G20020)公开出让公告,2020/4/21,|南岸区茶园组团D分区,|一类工业用地,,,,,,,,|医药制造业（中成药生产）,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市南岸区生态环境局关于D48-1/07地块拟引进产业环保情况说明》，同时需在开工建设前取得环评批复。,2020年4月21日12：00至2020年5月11日12：00,http://onlineca.jinrunsoft.com/UserOrder/Default/Index,2020年4月21日12：00至2020年5月11日12：00,,2020年5月11日12：00,2020年5月11日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/57cd6a05-a22f-4b37-ae4c-c83a52f9769b.html,4faa1334c54f663aeea646a78121d6fe
巴南区李家沱组团I标准分区I12-1/02地块(公告序号：20037)公开出让公告,2020/4/21,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/a8c16f21-b0aa-4ee5-9d13-2ab009e68619.html,2dca3922b303ea3e68c864d334bd4bcb
江北区大石坝组团G分区G17-2/04地块(公告序号：20038)公开出让公告,2020/4/21,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200423/d9359228-7220-45f7-a563-c13e433de81f.html,05b4ab3807a597267e666e5df1dd7fe6
忠县黄金镇油坊沟建筑石料用灰岩矿采矿权出让公告,2020/4/21,,,,,,,,,,,,,,,,,,,,,,023-54235264,陈老师、刘老师,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/b8122343-f02a-4596-9b76-ddcc4fa713b3.html,09c3f9cbec381a39f32b95392e55aa57
2020-RC-1-07号国有建设用地使用权公开出让公告,2020/4/21,,,,,,,,,,,,,,,,,,,,,,46789811,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/98eb9dd7-ee62-45b0-bc87-f0441687d2bf.html,ae57fc5d162cbc04aa9e025c728f3c76
沙坪坝区西永组团Ah标准分区 Ah12-01/04、Ah17-01/04、Ah18-02/04、Ah19-01/04地块(公告序号：20028)公开出让公告,2020/3/31,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200413/fcebaa38-fdc3-4777-812f-a9a01bf800e3.html,49cdaa45c092a12b48326d3c3734f3a2
潼南工业园区南区C20-02/02号地块国有土地使用权公开出让公告,2020/3/31,|                                          潼南工业园区南区C20-02/02号地块                                                                     ,|工业用地,|84563.04㎡,,|                                          ≥55%                                                                     ,|                                         ,,,|                                          TNC2020-9                                         ,,,|                                          /                                         ,,|                                          宗地规划用途为二类工业用地兼容一类仓储用地，建设用地面积84563.04㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。                                          , 2020年3月30日至2020年4月20日,重庆中润拍卖有限公司,2020年3月30日至2020年4月20日,,2020年4月20日16时30分,2020年4月20日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200407/d101d93d-46a8-4740-ae15-23eaafcc56e0.html,7ca6886d7d8aeaa5793b585ccab2d209
工业园区黄岭组团C-G08-03/02号地块国有建设用地使用权,2020/3/31,,,,,,,,,|YUNYANG-1-出让-75号,,,,,,,,,,,,云阳县行政服务中心三楼,55522337|55522337,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200407/c8adf33a-a16c-471f-abde-eb8e4a4e7c03.html,2e2af73fd6a5fefb9224659c0005944c
潼南工业园区北区D24-1/02、D28-1/02号地块国有土地使用权公开出让公告,2020/3/31,|                  潼南工业园区北区D24-1/02、D28-1/02号地块                         ,|工业用地,|150009.4㎡,,|                  ≥55%                         ,|                 ,,,|                  TNC2020-10                 ,,,|                  /                 ,,|                  宗地规划用途为工业用地（M2)，建设用地面积150009.4㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南高新区管委会负责在2020年12月30日之前向竞得人移交土地。            , 2020年3月30日至2020年4月20日,重庆中润拍卖有限公司,2020年3月30日至2020年4月20日,,2020年4月20日16时30分,2020年4月20日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200407/54c2ca41-21e9-47fc-85c2-ebccec38cbe3.html,1539c35a7de0af6a88e11657dd190daf
双江五福寺地块三期（S-3）地块国有土地使用权公开出让公告,2020/3/31,|                                         ,|其他商服用地,|26895.4㎡,,|                                          /                                                                     ,|                                          ≥20%                                         ,,,|                                          TNC2020-13                                         ,,,|                                          /                                         ,,|                                          宗地规划用途为商业用地兼容居住用地，建设用地面积26895.4㎡。竞得人须自成交次日起10个工作日内，持签订的《国有建设用地使用权成交确认书》向出让人申请签订土地出让合同；并自成交次日起30日内一次性付清土地出让价款。竞得人逾期未申请签订土地出让合同或缴清价款的，成交确认书自动失效，出让人有权终止供地，并没收竞得人缴纳的保证金。宗地由潼南双江镇政府负责在成交后180天向竞得人移交土地。                                          , 2020年3月30日至2020年4月20日,重庆中润拍卖有限公司,2020年3月30日至2020年4月20日,,2020年4月20日16时30分,2020年4月20日16时30分,重庆市潼南区公共资源交易中心,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200407/1b6c7790-218e-479a-adfd-5b424b02972e.html,d1f8f467774514e7fa07f1818641892a
重庆市大足区规划和自然资源局国有土地使用权公开公告出让公告(双桥经开规资告字[2020]5号),2020/4/1,|                                    双桥经开区双南路                                                       ,|工业用地,|3527.84平方米,,,,,,|                                    SQ1907                                   ,,,|                                    万元/公顷                                   ,,|                                    其他需要说明的宗地情况：1、以上宗地土地用途为M2（二类工业用地），出让年限为工业50年。2、该宗土地出让总价款为59.25万元。3、竞得人在5个工作日内签订《成交确认书》，在签订《成交确认书》次日起30日内付清全部土地价款。未按期缴纳的，经出让人催交后10日内仍不能支付国有建设用地使用权出让价款的，出让人有权撤销交易结果，终止供地，并追究竞得人的违约责任，不退还定金。竞得人应在缴清剩余土地价款后10个工作日内持本《成交确认书》到重庆市大足区规划和自然资源局签订《国有建设用地使用权出让合同》。不按期签订《国有建设用地使用权出让合同》的，视为竞得人放弃竞得资格，竞得人应承担相应法律责任。4、出让价款中不含土地交易契税、征地拆迁补偿政策调整调增等费用。5、出让公告同时在中国土地市场网、重庆市大足区公共资源综合交易网（http://ggzyjy.dazu.gov.cn/lbv3/index.aspx）、双桥经开区公共资源交易网站(http://www.023sqjy.com/LBv3/index.aspx)发布。                                          , 2020年04月01日至 2020年04月20日, 重庆市大足区公共资源综合交易服务中心双桥分中心, 2020年04月01日至 2020年04月20日,,2020年04月20日17时00分,2020年04月20日17时00分,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200402/bee17127-0758-4697-81a7-a5c78fe9f6d2.html,e78b2d121950f5d9e6a46b685ee2ffa6
永川区凤凰湖工业园R12-03/02国有建设用地使用权出让公告,2020/4/2,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/99330b9d-c84d-4171-a8fc-93cf6085bc18.html,e0bf6eb7ddb82c55bb102b97b888f31f
南岸区南坪组团K分区K1-9-1/07地块(公告序号：20029)公开出让公告,2020/4/4,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200404/9cb4bb1b-4bef-41dc-82f7-8261ca6a522e.html,c247a85aa5f8a999648109eb40d335ea
永川区三教工业园区D05-02/01-18国有建设用地使用权出让公告 ,2020/4/8,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200424/fc19b8ae-65c5-436f-a953-dfe9e8d7198d.html,6b401a213b1f4c7e45917ac2cba7e871
奉节县FJ-30-16号宗地国有建设用地使用权出让公告,2020/4/9,|                  永乐镇幺店社区                         ,|公用设施用地,|2577平方米,,,,,,|                  FJ-30-16                 ,,,|                  万元/公顷                 ,,, 2020年4月9日 至 2020年4月30日12时00分前,,2020年4月9日 至 2020年4月30日12时00分前 ,,2020年4月30日12时00分,2020年4月30日12时00分,奉节县公共资源交易中心,交易中心023-56683395,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200409/1c17ae91-26a9-41ce-b563-126e322e4ba4.html,477a156557a543c6eb46937ab7f66b61
奉节县FJ-01-97号宗地国有建设用地使用权公开出让公告,2020/4/9,|                  永安街道竹枝路                         ,|加油站用地,|525平方米,,,,,,|                  FJ-01-97                 ,,,|                  万元/公顷                 ,,, 2020年4月9日至 2020年4月30日12时00分前,,2020年4月9日 至 2020年4月30日12时00分前 ,,2020年4月30日12时00分,2020年4月30日12时00分,奉节县公共资源交易中心,交易中心023-56683395,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200409/c2e16ec6-ebf6-4093-8666-d14bd8368442.html,742e441c4a3e0fbbcef5f48784eb99f9
沙坪坝区沙坪坝组团D标准分区D6-6/03地块(公告序号：20031)公开出让公告,2020/4/9,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/c00de219-0717-4d1c-8ac9-ee479499c94e.html,9cfbd353510f396ab1be1771936af967
九龙坡区西彭组团L分区L7-1/03地块、J分区J23-1/03地块(公告序号：20030)公开出让公告,2020/4/9,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/399c1503-7272-4002-9640-11623ab981d8.html,2180651fa5c527eeee04ec088c4d8901
巴南区圣灯山片区组团B分区B03-6/04地块(公告序号：20035)公开出让公告,2020/4/10,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200421/f16c042e-d925-4e1c-be3c-3aa32ff599e2.html,fce7e8a367adbd061a70d8a46aed1761
九龙坡区大杨石组团Q分区QF2-3-2/06地块(公告序号：20032)公开出让公告,2020/4/10,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:02,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200416/dea70325-b549-4ac1-b96e-e17fbc1e52e5.html,be83952df54217493648b33eb32d5f4a
北碚区蔡家组团双碑B分区B06-1/07、B05-1-1/06地块(公告序号：20041)公开出让公告,2020/4/22,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200422/d573b19b-306d-4938-aa6a-c45e99fe285a.html,1be77ebafabb00c582600b4f3697d2f3
北部新区X-C08-02/03号地块国有建设用地使用权,2020/4/24,,,,,,,,,|YUNYANG-2-出让-90号,,,,,,,,,,,,云阳县行政服务中心三楼,55522337|55522337,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200427/407ec7c0-be21-4ed6-beba-189476193396.html,6317de63a6a0178606411691efe3ba06
渝北区两路组团I分区I21-2-1/04地块(公告序号：20045)公开出让公告,2020/4/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200425/923762ff-542c-4cbc-8e13-da69ffce49aa.html,c6ad2d14a401529def98d3433701dd5a
渝北区空港组团U分区U08-1/01地块(公告序号：G20021)公开出让公告,2020/4/25,|渝北区空港组团U分区,|一类物流仓储用地,,,,,,,,|/,,,,1、土地面积以实测为准。2、该宗地以网上交易方式出让。3、环保要求详见《重庆市渝北区环境保护局关于U08-1/01号地块宝能（西部）冷链仓储物流中心项目土地招拍挂出让意见的复函》（渝北环函〔2018〕280号）。,2020年4月25日12：00至2020年5月15日12：00,http://onlineca.jinrunsoft.com/UserOrder/Default/Index,2020年4月25日12：00至2020年5月15日12：00,,2020年5月15日12：00,2020年5月15日12：00,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,王先生,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200425/489baa72-cc5b-4c58-b71c-3b720c7c5a66.html,24e207194721690f6761a6711e4c5d36
九龙坡区大杨石组团N分区N12-1/03地块(公告序号：20044)公开出让公告,2020/4/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200425/30d19461-788f-4289-842d-7eb6170134c7.html,058ca780471a2f862698a0d077ac4e85
巴南区南彭街道塔罗村加油站地块(公告序号：20043)公开出让公告,2020/4/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200425/d98b422d-f772-45a4-beec-e991aa2f4089.html,bc9e3e29935b0e8b6a6b0a56b7039cc4
沙坪坝区双碑组团E标准分区E30-1/05地块(公告序号：20042)公开出让公告,2020/4/25,,,,,,,,,,,,,,,,,,,,,重庆市渝北区青枫北路6号渝兴广场B9、B10栋,63628117,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200425/54b5fa22-a24c-4a69-8c6b-e16a5951f4cb.html,bf2126b885b118e6d8f304ee9ae6c2e7
重庆市万州区国有建设用地使用权挂牌出让公告,2020/4/26,|高峰镇安静村范围,|二类工业用地(M2),,,,,,,,|调味料、食用植物油生产,,,,,,,,,,,,,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200427/c8573e56-ffd4-427d-9c50-10746909f92c.html,a7fbde1f3353bff6ec6de6f8a65809d8
重庆市江津区规划和自然资源局鼎山街道C5-3-01号地块国有建设用地使用权公开出让公告,2020/4/26,,|其他交通设施用地,,,,,,|220,,,,,,,,,,,,,重庆市江津区鼎山街道元帅大道36号|江津区几江街道水木年华步行街津华大厦二楼,023-47696255| 023-47217310,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/014004001001/20200427/9f99eca7-f7df-41ba-a26d-acefe3a746a3.html,555e315ef20bf81fc6fffb7c91f46021
永川区三教工业园区D04-09/02-03国有建设用地使用权出让公告,2020/4/26,,,,,,,,,,,,,,,,,,,,,,,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/20200426/6808fadf-2d12-4004-9fbd-f31aa818f242.html,d38067996ea0130956e8ea91bf0e37a7
重庆市万州区国有建设用地使用权挂牌出让公告 万州地交〔2020〕10号,2020/4/26,|高峰镇安静村范围,|二类工业用地(M2),,,,,,,,|调味料、食用植物油生产,,,,,,,,,,,,,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/20200426/06d82768-0ce5-42ec-9e80-021080db7c43.html,7aa864c48d3a49b94a2136d95876e7a6
BS18-1J-315国有建设使用权公开出让出让公告,2020/4/27,|璧山区璧泉街道新胜村,|商务金融用地,|199236.16平方米,,,,,,|BS18-1J-315,,,|万元/公顷,,|1.该宗地起始价为120738万元；2.其他土地利用条件按照璧规资条件〔2020〕0006号执行；3.竞得人需从签订《成交确认书》之日起2个工作日内申请签订土地出让合同，10个工作日内缴清出让价款；4.签订土地出让合同后5个工作日交地，交地后3个月内开工；5.按时开工后3年内竣工。, 2020年04月20日至 2020年05月11日,, 2020年04月20日至 2020年05月11日,,2020年05月11日11时30分,2020年05月11日11时30分,,,,2020/4/28 14:03,https://www.cqggzy.com/xxhz/014004/014004001/20200427/5f6be248-5e15-4b4e-a4b9-81e57933e3c5.html,ca52aad9eddf8f8d9a13c35543a065c6
