文件标题, 正文标题, 公告类型, 行政区, 供应公告标题, 发布时间, 出让文件获取时间,出让文件获取地址,保证金截止时间, 确认竞买资格时间, 联系地址, 联系电话, 联系人, 开户单位, 开户银行, 银行账号, 宗地编号,宗地面积, 宗地坐落, 岀让年限, 容积率, 建筑密度(%), 绿地率(%), 建筑限高(米),土地用途, 投资强度, 保证金, 估价报告备案号, 现状土地条件, 起始价, 加价幅度,挂牌截止时间, 挂牌开始时间, 基础设施配套,是否土地平整, 排污设施状况, 备注, 爬取时间, 爬取地址url, 唯一标识, 
龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]004号),龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]004号),挂牌,龙门县,龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]004号),2020-03-20,2020年03月21日 至 2020年04月22日,惠州市公共资源交易中心龙门分中心土地与矿业权网上挂牌交易系统（www.lmgtjy.com） ,2020-04-22 18:00,2020-04-22 18:00,广东省惠州市公共资源交易中心龙门公中心龙门县东门路11号,0752-7988083,0752-7988083,,,,LM2020-8,32178平方米,龙田镇李洞村委陈洞村民小组,40年,小于或等于1,小于或等于30,大于或等于35,,旅馆用地,万元/公顷,1779万元,,,3558万元,100万元,2020-04-23 16:00,2020-04-10 09:00,,,,,2020-04-17 10:32:59,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090767371&__boxModel__=true&op=page_content&sessionID=28723&pn=1,9f18eba38de14d5f92f433bf2481e484,
博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]6号),博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]6号),挂牌,博罗县,博罗县自然资源局国有土地使用权挂牌出让公告(惠公易土博罗[2020]6号),2020-03-20,2020年03月20日 至 2020年04月23日,惠州市公共资源交易中心土地与矿业网上挂牌交易系统（https://gtjy.hdgtjy.com/） ,2020-04-23 09:00,2020-04-23 09:00,博罗县罗阳镇商业西街博罗县社会服务中心2号楼3楼,0752-6286631,0752-6286631,,,,博自然资（用地）挂字[2019]13号,55904平方米,博罗县石湾镇振兴大道北侧地段,50年,大于或等于2,大于或等于30,小于或等于20,,工业用地,万元/公顷,2010万元,4412019BD0129,,4020万元,60万元,2020-04-23 10:00,2020-04-09 09:00,,,,本宗地块出让产业类型为交通运输设备制造业，项目投资强度不低于380万元/亩，竞得人需承诺固定资产投资总额不低于31865万元人民币或5310万元美元（含地价款），年土地产出率不低于55932万元人民币，年度税收不低于2516万元人民币，并于地块成交之日起10个工作日内签订《地块产业准入条件承诺书》。,2020-04-17 10:32:59,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090768124&__boxModel__=true&op=page_content&sessionID=26001&pn=1,d9ad8323a79d5ae5b99c7d611c1f58b7,
清远市自然资源局国有土地使用权挂牌出让公告(清政务地挂出[2020]011号),清远市自然资源局国有土地使用权挂牌出让公告(清政务地挂出[2020]011号),挂牌,清远市本级,清远市自然资源局国有土地使用权挂牌出让公告(清政务地挂出[2020]011号),2020-03-13,2020年03月13日 至 2020年04月14日,清远市国土资源网上交易系统 ,2020-04-14 16:00,2020-04-14 16:00,,,,,,,441802005007GB00334,49913,清远市清城区洲心街道B48号区,70年,大于1并且小于或等于2,小于或等于24,大于或等于34,,城镇住宅用地,万元/公顷,5100万元,4413619BC0101,,25456万元,100万元,2020-04-16 10:00,2020-04-02 09:00,,,,1、根据挂牌出让方案等文件要求，该宗地需配建公共配套设施，相关要求详见交易文件；2、自签订《成交确认书》之日起60日内，由清远市土地开发储备局向受让人按现状现场移交土地；3、项目建设时间设定为3年，自交地之日起1年内开工建设，自开工之日起3年内竣工。,2020-04-17 10:33:00,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090768657&__boxModel__=true&op=page_content&sessionID=52432&pn=1,2148f30f369bacf6a60be78f74e2d727,
龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]003号),龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]003号),挂牌,龙门县,龙门县自然资源局国有土地使用权挂牌出让公告(惠公易土龙门[2020]003号),2020-02-28,2020年02月29日 至 2020年04月01日,惠州市公共资源交易中心龙门分中心土地与矿业权网上挂牌交易系统（www.lmgtjy.com） ,2020-04-01 18:00,2020-04-01 18:00,广东省惠州市公共资源交易中心龙门公中心龙门县东门路11号,0752-7988083,0752-7988083,,,,LM2020-7,19999,龙江镇路溪村,50年,大于或等于1,大于或等于30,小于或等于20,,工业用地,3000万元/公顷,316万元,,,632万元,18万元,2020-04-02 16:00,2020-03-20 09:00,,,,,2020-04-17 10:33:02,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090769348&__boxModel__=true&op=page_content&sessionID=16433&pn=1,1a3f4c7fbd69ea7b0c5ec34a875d72f6,
中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0007号),中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0007号),挂牌,中山市本级,中山市自然资源局国有土地使用权挂牌出让公告(中土告字[2020]0007号),2020-02-26,2020年01月23日 至 2020年04月01日,中山市公共资源交易网（网址：http://www.zsjyzx.gov.cn） ,2020-03-31 17:00,2020-04-01 11:00,中山市博爱六路22号市行政服务中心（原市博览中心常年展厅）二楼市公共资源交易中心E区,0760-89817365,0760-89817365,中山市公共资源交易中心,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,由竞买人在中山市公共资源交易网土地与矿业权交易系统中申请获取,W15-20-0007,11395,中山市南朗镇（翠亨新区起步区）西三围,50年,大于或等于3,小于或等于40,大于或等于10并且小于或等于20,,工业用地,9000万元/公顷,3230万元,4422220BA0005,,6461,64万元,2020-04-02 09:00,2020-02-15 09:00,,,,（1）本宗用地已达基本建设要求。（2）本次公开出让不设保留价。（3）国有建设用地使用权出让价款支付方式：签订《出让合同》之日起20天内将成交总地价款一次性支付完毕。（4）建设用地交付时间：付清全部地价款之日起20天内  由申请单位按约定标准将国有建设用地交付竞得人使用。（5）土地开发建设条件：①行业要求及代码：信息传输、软件和信息技术服务业、科学研究和技术服务业、医药制造业、电气机械和器材制造业、计算机、通信和其他电子设备制造业、仪器仪表制造业、工业服务业、生产性服务业、现代服务业，用地竞得后产业方向符合其中一项即可；②投资强度：≥9000元/平方米；③建设期限：动工时间设定为自土地交付之日起182天内开工建设，竣工时间设定为自开工之日起1095天内竣工。；④本宗用地成交后，由竞得人与中山市翠亨新区管理委员会签订《项目履约监管合同》，竞得人就该用地项目的开发建设事宜接受所在镇区监管。（6）达产要求：竞得人应自土地交付之日起2372天内达产，达产当年达到预期产值17093.1万元、预期纳税额854.66万元。（7）经公开出让并已建成投产的工业用地（产业用地）受让人或土地实际使用人在土地出让存续期内，出现停工、停产等非生产经营情况满一年的，由土地所在地镇（区）政府责令其恢复生产经营活动。停工、停产等非生产经营情况的认定标准由所在地镇（区）政府根据项目实际情况进行认定。经责令和处理仍不恢复生产经营的，出让人可根据所在地镇（区）政府申请，与受让人解除出让合同。受让人将土地退还给出让人后，出让人扣除受让人应当支付的违约金及其他必要费用后，将已收取的国有建设用地使用权出让价款退还给受让人（不计利息）。（8）分割转让前提条件，分割转让比例：①在竞得人首期工程竣工并达到《项目履约监管合同》约定的投资强度后，可以分割转让的建筑面积累计最高至计容建筑面积的20%（包括配套部分）；②在竞得人完成年产值、年税收指标后（可提前完成），可以分割转让的建筑面积累计最高至计容建筑面积的30%（包括配套部分）；③在竞得人完成所有指标后（可提前完成），可以分割转让的建筑面积累计至计容建筑面积的49%（包括配套部分）。（9）其他开发建设、分割转让、使用管理等要求应按《中山市新型产业用地管理办法》执行。,2020-04-17 10:33:02,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090769861&__boxModel__=true&op=page_content&sessionID=82594&pn=1,afc112ccdac31af7df11093ae59cf1d3,
广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]11号),广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]11号),挂牌,黄埔区,广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]11号),2020-02-25,2020年02月25日 至 2020年03月16日,http://www.gzggzy.cn ,2020-03-16 17:00,2020-03-21 17:00,,,,,,,,,广州市黄埔区开创大道以西、瑞祥路以南,50年,小于或等于3,,小于或等于20,,,万元/公顷,161万元,,,802万元,20万元,2020-03-27 10:00,2020-03-17 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1.竞买保证金人民币161万元、港币185万元、美元25万元。2.按《地块配套条件》的交地标准进行移交，详见《国有建设用地使用权出让合同》附件4。3.地块建成后的所有建筑（包括地下建筑及地上建筑）必须整体确权，不得分割转让。,2020-04-17 10:33:03,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090770415&__boxModel__=true&op=page_content&sessionID=8530&pn=1,0515344d76b7b2f2c292b7cf716a3099,
广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]13号),广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]13号),挂牌,黄埔区,广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]13号),2020-02-25,2020年02月25日 至 2020年03月16日,http://www.gzggzy.cn ,2020-03-16 17:00,2020-03-21 17:00,,,,,,,,,知识城新能源新材料价值创新园，改革大道以西、人才五路以南,50年,小于或等于3,,小于或等于20,,,万元/公顷,584万元,,,2919万元,20万元,2020-03-27 10:00,2020-03-17 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1.竞买保证金人民币584万元、港币655万元、美元85万元。2.按《地块配套条件》的交地标准进行移交，详见《国有建设用地使用权出让合同》附件4。3.地块建成后的所有建筑（包括地下建筑及地上建筑）必须整体确权，不得分割转让。4.受让人依法取得项目用地后，需严格按照项目规划要求独立完成开发利用，如受让人需出租、转让或与第三人合作开发建设项目用地及建（构）筑物（包括地下建筑及地上建筑）需经广州市黄埔区政府、广州开发区管委会或其相关工作部门书面同意。如受让人未经广州市黄埔区政府、广州开发区管委会或其相关工作部门书面同意，私自出租、转让或与第三人合作开发建设项目用地及建（构）筑物，或在承诺经营期限内私自以转让项目公司股权等形式变相转让项目用地使用权，出让人有权收回土地，受让人因此取得的所有收益归出让人所有，收益明显低于市场评估价的，以双方商定的第三方专业机构评估的价值为准，对已建成的建（构）筑物如出让人愿意保留或继续使用的，根据委托的专业评估机构对其成本评估的结果进行货币补偿。5.有关出让宗地的详细资料及挂牌文件可于本公告发布之日起在广州公共资源交易网（www.gzggzy.cn）土地矿产专栏及广州市规划和自然资源局网（http://ghzyj.gz.gov.cn）的土地交易信息中浏览。,2020-04-17 10:33:13,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090782133&__boxModel__=true&op=page_content&sessionID=41585&pn=1,9e1e8e7066bf0b756875f1867615f197,
广州市规划和自然资源局番禺区分局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]9号),广州市规划和自然资源局番禺区分局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]9号),挂牌,广州市本级,广州市规划和自然资源局番禺区分局国有土地使用权挂牌出让公告(穗规划资源挂出告字[2020]9号),2020-02-25,2020年02月26日 至 2020年03月16日,,2020-03-16 17:00,2020-04-10 17:00,广州市番禺区大龙街清河东路石岗东村段215号,(020) 34588634,(020) 34588634,,,,,,广州市番禺区南村镇樟边村                            出让年限：            50年            容积率：            大于或等于2并且小于或等于4            建筑密度(%)：            大于或等于30并且小于或等于50                             绿地率(%)：            小于或等于20            建筑限高(米)：            小于或等于40            土地用途：            工业用地                            投资强度：            23800万元/公顷            保证金：            635万元            估价报告备案号：            4410619BC0004                                                    现状土地条件：土地成交之日起3个月内由广州市番禺区土地开发中心完成具备施工设备与人员进场的道路、施工所需的供水和供电等动工开发所必须的基本条件后进行交地。                                            起始价：            3173.142万元            加价幅度：            20万元                                              挂牌开始时间：            2020年03月16日00时00分            挂牌截止时间：            2020年03月27日10时00分                                            基础设施配套：            {JCSSPT}            是否土地平整:            {SFTDPZ}            排污设施状况：            {SFJBPWSS}        \                   排污设施状况说明：            {PWSS_SM}                                       现场照片：            {XCZP}                                       是否“三旧”改造：            {SFSJGZ}                                       二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人应当单独申请。申请人应具备的其他条件：（一）地块出让条件1.拟建产业为电池制造产业，符合番禺区产业规划。2.竞买人须具备博士后科研工作站等国家级研发平台资质。3.竞买人须为上市公司。4.竞得人应在土地成交之日起1年内开工，在开工之日起3年内竣工，并于2024年前投产（运营）。5.竞得人应承诺在土地交付之日起，在番禺区内连续4年平均年营业收入不得低于15亿元、平均年纳税额不得低于4000万元。且须在出让合同约定竣工时间之日起10年内在本地块项目内每两年平均营业收入不得低于18亿元、每两年平均年纳税总额不得低于9000万元。6.竞得人须在出让合同约定的竣工时间之日起5年内在本地块项目内成功申报“国家级企业技术中心”或获得“国家级科技进步奖”（除因国家政策调整外）。7.竞得人须将企业总部迁入或者注册在番禺区，且工商注册和税务登记地址应在番禺区范围内，相关手续应在土地成交之日起两个月内完成；半年内将公司全国销售总部和全国结算中心职能一并迁入企业总部；在土地出让年期内工商注册、税务征管关系、主营业务和统计关系不得迁出番禺区。8.竞得人须在签订《国有建设用地使用权出让合同》前与广州市番禺区科技工业商务和信息化局签订《番禺区产业建设项目履约监管协议书》，作为《国有建设用地使用权出让合同》的附件。9.项目投产后连续10年，由广州市番禺区科技工业商务和信息化局每2年对项目效益进行一次核定，该项目的投产年期、达产年限、达产后年产值、节能指标、供后监管评价试点、评价要求和评价未达标的整改及处理措施以竞得人与广州市番禺区科技工业商务和信息化局最终签订的《番禺区产业建设项目履约监管协议书》为准。10.本出让地块不得实施“三旧”改造，不得擅自变更产业发展方向。11.本地块需采用装配式建筑，装配式建筑面积比例不低于30%。12.竞得人可按相关规定申请产业用房分割登记、转让，分割转让的产业用房须用于引进产业链关联的优质产业项目，有关产业项目须在广州市番禺区注册成立独立法人资格的公司。竞得人物业自持比例不低于计算容积率建筑面积的70%，分割转让物业的转让价格不得高于18000元/平方米。如需变更地块实际持有人股权须报番禺区人民政府批准同意。13.竞得人必须在项目开工前完成节能审查，并自觉配合能源管理部门的事中事后监管。项目的建设方案、用能工艺、用能设备等必须符合国家、省、市有关节能标准和规范，采用可行的节能技术和产品，单位产品（增加值）能耗原则上要达到国际或国内效能先进水平。14.项目地区正在编制城市设计方案，城市设计方案对地块容积率、建筑密度、绿地率、建筑限高等作出具体规定的，应遵从城市设计的要求执行，园区内部道路的地上地下空间须按城市设计要求无偿提供政府建设和使用，园区内部道路的线位应以最终批复的城市设计为准；城市设计方案经批准前，项目应提前开展城市设计研究，并遵从规划条件设计要求。15.地块投资强度不得低于23800元/平方米。16.环评要求依照《广州市番禺区环境保护局关于征询番禺区南村镇樟边村NCG12-01地块环保意见的复函》（番环函〔2018〕1245号）执行。（二）地块其他出让条件如下：1.付款方式：合同签订之日起30日内一次性付清出让价款。2.交地时间：土地成交之日起3个月内由广州市番禺区土地开发中心完成具备施工设备与人员进场的道路、施工所需的供水和供电等动工开发所必须的基本条件后进行交地。3.开工时间：土地成交之日起1年内开工。4.竣工时间：开工之日起3年内竣工。5.土地使用权,50年,大于或等于2并且小于或等于4,,小于或等于20            建筑限高(米)：            小于或等于40            土地用途：            工业用地                            投资强度：            23800万元/公顷            保证金：            635万元            估价报告备案号：            4410619BC0004                                                    现状土地条件：土地成交之日起3个月内由广州市番禺区土地开发中心完成具备施工设备与人员进场的道路、施工所需的供水和供电等动工开发所必须的基本条件后进行交地。                                            起始价：            3173.142万元            加价幅度：            20万元                                              挂牌开始时间：            2020年03月16日00时00分            挂牌截止时间：            2020年03月27日10时00分                                            基础设施配套：            {JCSSPT}            是否土地平整:            {SFTDPZ}            排污设施状况：            {SFJBPWSS}        \                   排污设施状况说明：            {PWSS_SM}                                       现场照片：            {XCZP}                                       是否“三旧”改造：            {SFSJGZ}                                       二、 中华人民共和国境内外的法人、自然人和其他组织均可申请参加，申请人应当单独申请。申请人应具备的其他条件：（一）地块出让条件1.拟建产业为电池制造产业，符合番禺区产业规划。2.竞买人须具备博士后科研工作站等国家级研发平台资质。3.竞买人须为上市公司。4.竞得人应在土地成交之日起1年内开工，在开工之日起3年内竣工，并于2024年前投产（运营）。5.竞得人应承诺在土地交付之日起，在番禺区内连续4年平均年营业收入不得低于15亿元、平均年纳税额不得低于4000万元。且须在出让合同约定竣工时间之日起10年内在本地块项目内每两年平均营业收入不得低于18亿元、每两年平均年纳税总额不得低于9000万元。6.竞得人须在出让合同约定的竣工时间之日起5年内在本地块项目内成功申报“国家级企业技术中心”或获得“国家级科技进步奖”（除因国家政策调整外）。7.竞得人须将企业总部迁入或者注册在番禺区，且工商注册和税务登记地址应在番禺区范围内，相关手续应在土地成交之日起两个月内完成；半年内将公司全国销售总部和全国结算中心职能一并迁入企业总部；在土地出让年期内工商注册、税务征管关系、主营业务和统计关系不得迁出番禺区。8.竞得人须在签订《国有建设用地使用权出让合同》前与广州市番禺区科技工业商务和信息化局签订《番禺区产业建设项目履约监管协议书》，作为《国有建设用地使用权出让合同》的附件。9.项目投产后连续10年，由广州市番禺区科技工业商务和信息化局每2年对项目效益进行一次核定，该项目的投产年期、达产年限、达产后年产值、节能指标、供后监管评价试点、评价要求和评价未达标的整改及处理措施以竞得人与广州市番禺区科技工业商务和信息化局最终签订的《番禺区产业建设项目履约监管协议书》为准。10.本出让地块不得实施“三旧”改造，不得擅自变更产业发展方向。11.本地块需采用装配式建筑，装配式建筑面积比例不低于30%。12.竞得人可按相关规定申请产业用房分割登记、转让，分割转让的产业用房须用于引进产业链关联的优质产业项目，有关产业项目须在广州市番禺区注册成立独立法人资格的公司。竞得人物业自持比例不低于计算容积率建筑面积的70%，分割转让物业的转让价格不得高于18000元/平方米。如需变更地块实际持有人股权须报番禺区人民政府批准同意。13.竞得人必须在项目开工前完成节能审查，并自觉配合能源管理部门的事中事后监管。项目的建设方案、用能工艺、用能设备等必须符合国家、省、市有关节能标准和规范，采用可行的节能技术和产品，单位产品（增加值）能耗原则上要达到国际或国内效能先进水平。14.项目地区正在编制城市设计方案，城市设计方案对地块容积率、建筑密度、绿地率、,,,23800万元/公顷,635万元,,现状土地条件：土地成交之日起,3173,20万元,2020-03-27 10:00,2020-03-16 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:14,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090783407&__boxModel__=true&op=page_content&sessionID=14241&pn=1,08bfccc51cc28ddf31678969c108c938,
广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]14号),广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]14号),挂牌,黄埔区,广州开发区规划和自然资源局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]14号),2020-02-25,2020年02月25日 至 2020年03月16日,http://www.gzggzy.cn ,2020-03-16 17:00,2020-03-21 17:00,,,,,,,,,广州市黄埔区长岭居永顺大道以南、有轨电车岭福车辆段以西,40年,小于或等于4,,,,,万元/公顷,30937万元,,,154683万元,1000万元,2020-03-27 10:00,2020-03-17 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1.竞买保证金人民币30937万元、港币34295万元、美元4410万元。2.按《地块配套条件》的交地标准进行移交，详见《国有建设用地使用权出让合同》附件4。3.受让人依法取得项目用地后，需严格按照项目规划要求独立完成开发利用，如受让人需出租、转让或与第三人合作开发建设项目用地及建（构）筑物（包括地下建筑及地上建筑）需经广州市黄埔区政府、广州开发区管委会或其相关工作部门书面同意。如受让人未经广州市黄埔区政府、广州开发区管委会或其相关工作部门书面同意，私自出租、转让或与第三人合作开发建设项目用地及建（构）筑物，或在承诺经营期限内私自以转让项目公司股权等形式变相转让项目用地使用权，出让人有权收回土地，受让人因此取得的所有收益归出让人所有，收益明显低于市场评估价的，以双方商定的第三方专业机构评估的价值为准，对已建成的建（构）筑物如出让人愿意保留或继续使用的，根据委托的专业评估机构对其成本评估的结果进行货币补偿。,2020-04-17 10:33:14,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090782724&__boxModel__=true&op=page_content&sessionID=104&pn=1,666acc4148c65fe1537f94cc781b801d,
肇庆市自然资源局国有土地使用权拍卖出让公告(肇自然资高新告字[2020]7号),肇庆市自然资源局国有土地使用权拍卖出让公告(肇自然资高新告字[2020]7号),拍卖,肇庆市本级,肇庆市自然资源局国有土地使用权拍卖出让公告(肇自然资高新告字[2020]7号),2020-02-25,2020年02月25日 至 2020年03月16日,肇庆市土地和矿业权网上交易系统（网址：http://ggzy.zhaoqing.gov.cn) 获取 拍卖 出让文件,,,廖小姐,0758-364322,0758-364322,,,,,,肇庆高新区凤岗工业园北江大道西面、风华高科公司南面地段,50年,小于或等于1,,,,,万元/公顷,100万元,,现状土地条件：平整,300万元,50万元,,,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:15,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090783944&__boxModel__=true&op=page_content&sessionID=60533&pn=1,d381ac4f06ad94b2bc3a79765adfda2a,
广州市规划和自然资源局白云区分局国有土地使用权挂牌出让公告(穗规划资源云挂出告字[2020]1号),广州市规划和自然资源局白云区分局国有土地使用权挂牌出让公告(穗规划资源云挂出告字[2020]1号),挂牌,白云区,广州市规划和自然资源局白云区分局国有土地使用权挂牌出让公告(穗规划资源云挂出告字[2020]1号),2020-02-25,2020年02月25日 至 2020年03月16日,广州公共资源交易网（http://www.gzggzy.cn/） ,2020-03-16 17:00,2020-04-06 17:00,广州市天河区天润路333号,：(020) 28866078、28866412,：(020) 28866078、28866412,,,,,,广州市白云区太和镇民营科技园核心区,50年,大于或等于2并且小于或等于4,,小于或等于30,,,万元/公顷,2967万元,,,14835万元,223万元,2020-03-27 10:00,2020-03-17 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:16,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090784662&__boxModel__=true&op=page_content&sessionID=3647&pn=1,a0c89726f0f01df04df690e7a2dbda33,
清远市自然资源局清新分局国有土地使用权挂牌出让公告(清政务地挂出[2020]010号),清远市自然资源局清新分局国有土地使用权挂牌出让公告(清政务地挂出[2020]010号),挂牌,清新县,清远市自然资源局清新分局国有土地使用权挂牌出让公告(清政务地挂出[2020]010号),2020-02-25,2020年02月25日 至 2020年03月26日,清远市国土资源网上交易系统 ,2020-03-26 16:00,2020-03-26 16:00,,,,,,,,,清远市清新区太平镇盈富工业园,50年,大于或等于0,,大于或等于10并且小于或等于20,,,5700万元/公顷,250万元,,,534万元,20万元,2020-03-30 16:00,2020-03-16 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1、根据挂牌出让方案要求，出让地块拟建项目产业类型为汽车制造业；固定资产投资额≥11597万元，年产值（主营业务收入）≥500万元/亩，年税收≥60万元/亩;2、工业项目所需行政办公及生活服务设施用地面积不得超过项目总用地面积的7%，严禁在项目用地范围内建造成套住宅、专家楼、宾馆、招待所和培训中心等非生产性配套设施;2、自签订《成交确认书》之日起60日内，由清远市清新区土地储备中心向受让人按净地移交土地；3、该项目建设时间为2年，自交地后1年内开工建设，自开工之日起2年内竣工。,2020-04-17 10:33:17,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090786307&__boxModel__=true&op=page_content&sessionID=26694&pn=1,cac514a7ea3c9634fd881ed8a937e57a,
广州市规划和自然资源局黄埔区分局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]10号),广州市规划和自然资源局黄埔区分局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]10号),挂牌,黄埔区,广州市规划和自然资源局黄埔区分局国有土地使用权挂牌出让公告(穗规划资源埔（开）挂出告字[2020]10号),2020-02-25,2020年02月25日 至 2020年03月16日,http://www.gzggzy.cn ,2020-03-16 17:00,2020-03-21 17:00,,,,,,,,,广州市黄埔区广园快速路以南、护林路以北,50年,大于或等于2,,,,,万元/公顷,1046万元,,,5228万元,20万元,2020-03-27 10:00,2020-03-17 09:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},1.竞买保证金人民币1046万元、港币1165万元、美元150万元。2.按《地块配套条件》的交地标准进行移交，详见《国有建设用地使用权出让合同》附件4。3.地块建筑密度、绿地率等规划指标在建筑设计方案阶段审定。4.如项目批准为新型产业项目，配套设施可参照《广州开发区规划和自然资源局（广州市规划和自然资源局黄埔区分局关于新型产业用地与产业园区功能配比的指导意见（试行））》（穗开规划资源规字〔2019〕1号）要求执行。5.地块涉及岑村机场净空控制线，在规划方案阶段需征询航空限高相应管理部门（中国人民解放军九五一七一部队）意见。6.地块建成后的所有建筑（包括地下建筑及地上建筑）必须整体确权，不得分割转让。,2020-04-17 10:33:19,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090786988&__boxModel__=true&op=page_content&sessionID=27796&pn=1,d6c175b27075b23fd8cdebfc673df025,
徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]008号),徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]008号),挂牌,徐闻县,徐闻县自然资源局国有土地使用权挂牌出让公告(XWGC[2020]008号),2020-02-26,2020年02月26日 至 2020年03月30日,湛江市公共资源交易中心（或者http://tdkq.zjprtc.com/jingjia/以下网站下载） ,2020-03-30 16:00,2020-03-30 16:00,湛江市赤坎区体育北路2号天润中心五楼,0759-3585822,0759-3585822,,,,,,徐闻县前山镇人民政府西北侧A9号,70年,大于或等于1,,大于35,,,2000万元/公顷,5万元,,场地平整：平整  基础设施：存量建设用地,24万元,1万元,2020-04-01 10:40,2020-03-17 08:30,{JCSSPT},{SFTDPZ},{SFJBPWSS},,2020-04-17 10:33:20,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090787616&__boxModel__=true&op=page_content&sessionID=56793&pn=1,cb1c4149fb4f9df190b6f6f3a9611f45,
南雄市“三旧”改造工作领导小组办公室国有土地使用权挂牌出让公告(韶地出让告字[2020]016号),南雄市“三旧”改造工作领导小组办公室国有土地使用权挂牌出让公告(韶地出让告字[2020]016号),挂牌,南雄市,南雄市“三旧”改造工作领导小组办公室国有土地使用权挂牌出让公告(韶地出让告字[2020]016号),2020-02-26,2020年02月26日 至 2020年03月24日,韶关市公共资源交易服务平台的国土资源交易系统（网址：http://jyzx.sg.gov.cn/） ,2020-03-25 17:00,2020-03-25 17:00,,,,,,,,,南雄大会堂东侧“三旧”改造地块,70年,大于1并且小于或等于5,,大于或等于25,,,万元/公顷,17万元,,现状土地条件：,85万元,5万元,2020-03-26 15:00,2020-03-17 00:00,{JCSSPT},{SFTDPZ},{SFJBPWSS},该宗地土地用途和土地使用年限为：零售商业用地40年、城镇住宅用地70年、机关团体用地50年,2020-04-17 10:33:21,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587090789346&__boxModel__=true&op=page_content&sessionID=35712&pn=1,805a51e1da4e5f84b4c59d6dfcb1a1c9,
