文件标题,发布时间,文章来源,索引号,信息分类,发布机构,发文日期,文号,是否有效,信息名称,正文标题,宗地编号/地块编号,宗地总面积/挂牌面积(m2),土地坐落/宗地坐落,使用年限,岀让年限,容积率,建筑密度(%)/建筑密度,绿地率/|绿化率(%),建筑限高/建筑限高(米),土地用途明细/土地用途,投资强度,保证金(万元)/保证金,估价报告备案号,起始价/起始价(万元),加价幅度,挂牌开始时间,挂牌截止时间,获取出让文件时间,获取出让文件地点,报名时间,报名地点,保证金截止时间,确认竞买资格时间,联系地址,联系人,联系电话,开户单位,开户银行,银行帐号,爬取时间,爬取地址url,唯一标识,
毕节市七星关区国土资源局国有土地使用权挂牌出让公告,2018年06月28日 18:08,贵州省自然资源厅,GZ000001/2018-20001,土地出让转让公告,贵州省自然资源厅,2018年06月28日,毕资告（土矿）字[2018]064号,是,毕节市七星关区国土资源局国有土地使用权挂牌出让公告,毕节市七星关区国土资源局国有土地使用权挂牌出让公告(毕资告（土矿）字[2018]064号),|七星关区2018-CR-013,|41387.06平方米,|七星关区鸭池镇上坝村、下坝村出让年限：40年容积率：小于或等于1.5建筑密度(%)：小于或等于40绿化率(%)：大于或等于15建筑限高(米)：小于或等于30土地用途明细：批发零售用地投资强度：万元/公顷保证金：1190万元估价报告备案号5203918BA0082现状土地条件：起始价：1190万元加价幅度：5万元挂牌开始时间：2018年07月19日08时30分挂牌截止时间：2018年08月01日12时00分备注：该宗土地具体批准用途为农产品批发市场用地，,,|40年,|小于或等于1.5,|小于或等于40,|大于或等于15,|小于或等于30,|批发零售用地,|万元/公顷,|1190万元,,|1190万元,|5万元,|2018年07月19日08时30分,|2018年08月01日12时00分备注：该宗土地具体批准用途为农产品批发市场用地，出让年限40年。,2018年06月28日 至 2018年07月30日 ,毕节市公共资源交易中心一楼大厅受理窗口 ,2018年06月28日 至 2018年07月30日 ,毕节市公共资源交易中心一楼大厅受理窗口 ,2018年07月30日16时00分,2018年07月30日17时30分 ,毕节市七星关区学院路（东客站旁）金帝豪庭一、二楼,,,毕节市公共资源交易中心,贵阳银行毕节分行,17710121050000418,2020-04-29 10:06:37,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201806/t20180628_25295564.html,7a48790ce5df0f2e3c23baef4d53e983,
贵阳市国土资源局国有土地使用权挂牌出让公告,2018年07月25日 16:15,贵州省自然资源厅,GZ000001/2018-07906,土地出让转让公告,贵州省自然资源厅,2018年07月25日,筑公资告[2018]042号,是,贵阳市国土资源局国有土地使用权挂牌出让公告,贵阳市国土资源局国有土地使用权挂牌出让公告(筑公资告[2018]042号),|G（18）059,|46630平方米,|云岩区三马片区,,|70年,|大于或等于1并且小于或等于2.5,,,,|中低价位、中小套型普通商品住房用地,|万元/公顷,|15340万元,,,,|2018年07月13日09时00分,,2018年07月13日 至 2018年08月15日 ,贵阳市公共资源交易监管网下载 ,2018年08月06日 至 2018年08月15日 ,贵阳市公共资源交易中心 ,2018年08月15日16时00分,2018年08月15日17时00分 ,贵阳市观山湖区中天会展中心SOHO办公区G座（会展东路与会展北路交叉口）三楼,,,,,,2020-04-29 10:06:38,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201807/t20180725_25427474.html,ead6f6bc07e3f7e8ea3788bfc05488d8,
长顺县国土资源局国有土地使用权挂牌出让公告,2018年07月25日 16:16,贵州省自然资源厅,GZ000001/2018-07908,土地出让转让公告,贵州省自然资源厅,2018年07月25日,长国土资告字[2018]2号,是,长顺县国土资源局国有土地使用权挂牌出让公告,长顺县国土资源局国有土地使用权挂牌出让公告(长国土资告字[2018]2号),||2018-2-1|2018-2-10|2018-2-11|2018-2-12|2018-2-13|2018-2-14|2018-2-15|2018-2-16|2018-2-17|2018-2-18|2018-2-19|2018-2-2|2018-2-20|2018-2-21|2018-2-22|2018-2-23|2018-2-24|2018-2-25|2018-2-26|2018-2-27|2018-2-28|2018-2-29|2018-2-3|2018-2-30|2018-2-4|2018-2-5|2018-2-6|2018-2-7|2018-2-8|2018-2-9,||5165平方米|9842平方米|7210平方米|20003平方米|14482平方米|13188平方米|16743平方米|4452平方米|20498平方米|3598平方米|8998平方米|14861平方米|3692平方米|6932平方米|8457平方米|16652平方米|7793平方米|17345平方米|7950平方米|13420平方米|29867平方米|63729平方米|7915平方米|16168平方米|6000平方米|600平方米|1000平方米|2490平方米|688平方米|69535平方米,||县城建设路原印刷厂片区|广顺经开区|鼠场工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|长寨街道办磨谢村|威远工业园区|长寨街道办威远社区309省道旁|威远工业园区|威远工业园区|威远工业园区|威远工业园区|威远工业园区|威远工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|鼠场工业园区|县城城南新区|鼠场工业园区|县城城南新区|县城城南新区|县城城南新区|长寨街道办摆塘|摆所镇摆所|广顺经开区,,||70年|50年|50年|50年|50年|50年|50年|50年|50年|50年|50年|70年|50年|50年|50年|50年|50年|50年|50年|50年|50年|50年|70年|50年|50年|50年|50年|50年|50年|50年,||大于1并且小于或等于3.47|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于1并且小于或等于2.4|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于或等于0.7|大于1并且小于或等于2.99|大于或等于0.7|小于或等于2|小于或等于2|小于或等于2|小于或等于1|小于或等于1|大于或等于0.7,||小于或等于58.55|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于40|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于31.3|小于或等于30|小于或等于35|小于或等于35|小于或等于35|小于或等于30|小于或等于30|小于或等于30,||大于或等于21.81|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|大于或等于35|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|大于或等于31.2|小于或等于20|大于或等于30|大于或等于30|大于或等于30|大于或等于35|大于或等于35|小于或等于20,|||小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16||小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16|小于或等于16||小于或等于16||||||小于或等于16,||其他普通商品住房用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|其他普通商品住房用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地|其他普通商品住房用地|工业用地|公共设施用地|公共设施用地|公共设施用地|公共设施用地|公共设施用地|工业用地,||万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,||345万元|90万元|61万元|170万元|123万元|112万元|142万元|38万元|174万元|39万元|106万元|819万元|44万元|82万元|99万元|195万元|92万元|203万元|68万元|114万元|253万元|539万元|446万元|137万元|100万元|10万元|17万元|25万元|7万元|530万元,,||690万元|179万元|122万元|339万元|245万元|223万元|283万元|76万元|347万元|78万元|211万元|1637万元|87万元|163万元|198万元|390万元|183万元|406万元|135万元|227万元|505万元|1078万元|891万元|274万元|197万元|20万元|33万元|49万元|14万元|1259万元,||10万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|10万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元|10万元|1万元|1万元|1万元|1万元|1万元|1万元|1万元,||2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分|2018年08月06日08时00分,,2018年08月06日 至 2018年08月15日 ,黔南州公共资源交易中心长顺县分中心 ,2018年08月06日 至 2018年08月15日 ,黔南州公共资源交易中心长顺县分中心 ,2018年08月15日17时00分,2018年08月15日17时00分 ,黔南州公共交易中心长顺县分中心（长顺县人才公寓八楼交易大厅）,谢红兰、毛华萍、胡小海,0854-4840978,黔南州公共交易中心长顺县分中心,长顺县农村信用社合作联社,82000000000188693,2020-04-29 10:06:39,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201807/t20180725_25427476.html,524c853f9792810d521ae90e3c4e0e94,
威宁县国土资源局国有土地使用权挂牌出让公告,2018年07月25日 16:18,贵州省自然资源厅,GZ000001/2018-07915,土地出让转让公告,贵州省自然资源厅,2018年07月25日,威国土储交告字[2018]11号,是,威宁县国土资源局国有土地使用权挂牌出让公告,威宁县国土资源局国有土地使用权挂牌出让公告(威国土储交告字[2018]11号),|WN-2018-CL-002|WN-2018-PC-017,|4717.6平方米|11640.8平方米,|威宁县广园路（会展中心旁）出让年限：70年容积率：大于或等于1并且小于或等于8.7建筑密度(%)：小于或等于57绿化率(%)：大于或等于19建筑限高(米)：小于或等于98土地用途明细：其他普通商品住房用地投资强度：万元/公顷保证金：1097万元估价报告备案号现状土地条件：现状出让起始价：2194万元加价幅度：5万元挂牌开始时间：2018年08月12日09时00分挂牌截止时间：2018年08月22日17时00分备注：土地|威宁县乌江源大道北侧出让年限：70年容积率：大于或等于1并且小于或等于4.3建筑密度(%)：小于或等于40绿化率(%)：大于或等于25建筑限高(米)：小于或等于96土地用途明细：其他普通商品住房用地投资强度：万元/公顷保证金：809万元估价报告备案号现状土地条件：现状出让起始价：1617万元加价幅度：5万元挂牌开始时间：2018年08月12日09时00分挂牌截止时间：2018年08月22日17时00分备注：土地,,|70年|70年,|大于或等于1并且小于或等于8.7|大于或等于1并且小于或等于4.3,|小于或等于57|小于或等于40,|大于或等于19|大于或等于25,|小于或等于98|小于或等于96,|其他普通商品住房用地|其他普通商品住房用地,|万元/公顷|万元/公顷,|1097万元|809万元,,|2194万元|1617万元,|5万元|5万元,|2018年08月12日09时00分|2018年08月12日09时00分,,2018年07月20日 至 2018年08月10日 ,威宁自治县国土资源局土地储备交易中心 ,2018年07月20日 至 2018年08月10日 ,威宁自治县国土资源局土地储备交易中心 ,2018年08月10日17时00分,2018年08月11日17时00分 ,威宁自治县国土资源局土地储备交易中心,张松,0857-6226722,威宁县财政局土地资金管理专户,中国建设银行贵州威宁支行,52001696536052501,2020-04-29 10:06:39,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201807/t20180725_25427483.html,1ff22195187667b544296f31e562cf0a,
凤冈县国土资源局国有土地使用权拍卖出让公告,2018年07月25日 16:19,贵州省自然资源厅,GZ000001/2018-07918,土地出让转让公告,贵州省自然资源厅,2018年07月25日,凤吿字[2018]13号,是,凤冈县国土资源局国有土地使用权拍卖出让公告,凤冈县国土资源局国有土地使用权拍卖出让公告(凤吿字[2018]13号),|2018-28|2018-29|2018-30|2018-31,|120.13平方米|620.46平方米|396.81平方米|378.17平方米,|龙泉镇三坝社区河滨大道安置点处|龙泉镇三坝社区鸭子塘安置点处|龙泉镇三坝社区有机食品城安置点|龙泉镇三坝社区有机食品城安置点,,|50年|50年|50年|50年,|大于或等于1并且小于或等于5|大于或等于1并且小于或等于5|大于或等于1并且小于或等于5|大于或等于1并且小于或等于5,|小于或等于100|小于或等于100|小于或等于100|小于或等于100,,,|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|31万元|140万元|80万元|76万元,,|0.5万元|0.45万元|0.4万元|0.4万元,,,,2018年07月24日 至 2018年08月13日 ,,2018年07月24日 至 2018年08月13日 ,凤冈县国土资源局交易所 ,2018年08月13日00时00分,2018年08月14日00时00分 ,凤冈县龙泉镇,冉启洪、冉康,25222811 13595233943,,,,2020-04-29 10:06:40,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201807/t20180725_25427486.html,8b7762f3cfbf1d5b1360bc28e037984b,
册亨县国土资源局国有土地使用权挂牌出让公告,2018年08月28日 15:56,贵州省自然资源厅,GZ000001/2018-05140,土地出让转让公告,贵州省自然资源厅,2018年08月28日,册国土资交易告字[2018]03号,是,册亨县国土资源局国有土地使用权挂牌出让公告,册亨县国土资源局国有土地使用权挂牌出让公告(册国土资交易告字[2018]03号),|2016-11-G1-01|2017-11-C1-13|2018-11-G1-07|2018-11-G2-17|2018-CL-18,|10916.5平方米|25835.43平方米|48126.3平方米|69333.27平方米|13221.76平方米,|巧马工业园区|纳福新区|巧马工业园区|巧马工业园区|顺城路（芒果林）,,|50年|50年|50年|50年|40年,|小于或等于0.8|小于或等于1.5|小于或等于0.8|小于或等于0.8|小于或等于1.5,|小于或等于35|小于或等于30|小于或等于35|小于或等于35|小于50,|小于或等于30|小于或等于30|小于或等于30|小于或等于30|小于或等于25,|小于或等于24|小于或等于30|小于或等于24|小于或等于24|小于或等于24,|工业用地|公共设施用地|工业用地|工业用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|70万元|300万元|300万元|430万元|2600万元,,|0.0088万元|0.016万元|0.0088万元|0.0088万元|0.28万元,|0.0002万元|0.0002万元|0.0002万元|0.0002万元|0.0002万元,|2018年09月06日09时00分|2018年09月06日09时00分|2018年09月06日09时00分|2018年09月06日09时00分|2018年09月06日09时00分,,2018年08月17日 至 2018年09月05日 ,黔西南州公共资源交易中心网站 ,2018年08月17日 至 2018年09月05日 ,册亨县国土资源局 ,2018年08月17日09时00分,2018年09月05日16时00分 ,册亨县者楼镇河滨路14号,保密、黎铝,0859-4213702,黔西南州公共资源交易中心,贵阳银行股份有限公司兴义分行,38110121050000091,2020-04-29 10:06:41,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201808/t20180828_25500136.html,6166edc019aa1d09affe787067d32650,
黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告,2018年08月28日 16:03,贵州省自然资源厅,GZ000001/2018-05144,土地出让转让公告,贵州省自然资源厅,2018年08月28日,义龙国土告字[2018]20号,是,黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告,黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告(义龙国土告字[2018]20号),|2018-79号,|43250平方米,|义龙新区新桥镇海子坝村和钱相街道办作坊,,|50年,|大于0.7,|大于30,|小于20,,|工业用地,|万元/公顷,|143万元,,|0.0157万元,|0.001万元,|2018年08月20日09时00分,,2018年08月20日 至 2018年09月20日 ,,2018年08月20日 至 2018年09月20日 ,黔西南州公共资源交易中心 ,2018年09月20日16时30分,2018年09月20日17时00分 ,黔西南州公共资源交易中心 黔西南州国土资源局义龙新区分局,罗会斌、符丹、杨战,0859-35214545 3120731,黔西南州公共资源交易中心,贵阳银行股份有限公司兴义分行,,2020-04-29 10:06:41,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201808/t20180828_25500140.html,fb430810a8188f7d7930c9e1fd9191b5,
遵义市国土资源局国有土地使用权挂牌出让公告,2018年08月28日 16:04,贵州省自然资源厅,GZ000001/2018-05146,土地出让转让公告,贵州省自然资源厅,2018年08月28日,遵市国土资挂字[2018]06号,是,遵义市国土资源局国有土地使用权挂牌出让公告,遵义市国土资源局国有土地使用权挂牌出让公告(遵市国土资挂字[2018]06号),|2018-GP-51|2018-GP-52,|44234平方米|45828平方米,|遵义市钛厂片区|遵义市钛厂片区,,|70年|70年,|大于1并且小于或等于2.5|大于1并且小于或等于2.5,|小于或等于25|小于或等于25,|大于或等于30|大于或等于30,,|中低价位、中小套型普通商品住房用地|中低价位、中小套型普通商品住房用地,|万元/公顷|万元/公顷,|5906万元|6119万元,,|11811万元|12237万元,|150万元|150万元,|2018年09月07日09时00分|2018年09月07日09时00分,,2018年08月18日 至 2018年09月14日 ,遵义市公共资源交易中心 ,2018年08月18日 至 2018年09月14日 ,遵义市汇川区南京路城上城写字楼5层505室 ,2018年09月14日16时00分,2018年09月14日16时00分 ,遵义市汇川区南京路城上城写字楼5层505室,,,,,,2020-04-29 10:06:42,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201808/t20180828_25500142.html,586227c5ff20522d8fb50e8d424748d4,
紫云自治县国土资源局国有土地使用权挂牌出让公告,2018年08月28日 16:05,贵州省自然资源厅,GZ000001/2018-05150,土地出让转让公告,贵州省自然资源厅,2018年08月28日,安市公资交（地）字告[2018]25号,是,紫云自治县国土资源局国有土地使用权挂牌出让公告,紫云自治县国土资源局国有土地使用权挂牌出让公告(安市公资交（地）字告[2018]25号),|ZYG2018-02号,|16309平方米,|五峰街道中心村、红岩村,,|50年,|大于或等于1并且小于或等于1.5,|小于或等于30,|大于或等于15,|小于或等于24,|工业用地,|万元/公顷,|305万元,,|305万元,|5万元,|2018年09月10日09时00分,,2018年08月21日 至 2018年09月17日 ,安顺市公共资源交易中心 ,2018年08月21日 至 2018年09月17日 ,安顺市公共资源交易中心 ,2018年09月17日17时00分,2018年09月18日12时00分 ,紫云自治县国土资源局,金建春,0851-35236496,安顺市公共资源交易中心,贵州银行安顺若飞支行,,2020-04-29 10:06:43,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201808/t20180828_25500146.html,d4b552d2c093bb9f9fe011b9f9365b64,
江口县自然资源局国有土地使用权挂牌出让公告,2019年04月02日 16:53,贵州省自然资源厅,GZ000001/2019-19945,土地出让转让公告,贵州省自然资源厅,2019年04月02日,无,是,江口县自然资源局国有土地使用权挂牌出让公告,江口县自然资源局国有土地使用权挂牌出让公告(江地交易告字[2019]01号),|2019-TD-CR-01,|34826平方米,|江口县三星西路中端西侧中段（凯德街道）,,|40年,|大于1并且小于或等于1.9,|小于或等于55,|大于或等于18,|小于或等于40,|其他商服用地,|2000万元/公顷,|1000万元,,|1933万元,|5万元,|2019年03月26日09时00分,,2019年03月11日 至 2019年04月02日 ,铜仁市公共资源交易中心江口分中心网站 ,2019年03月11日 至 2019年04月02日 ,铜仁市公共资源交易中心江口分中心网站 ,2019年04月02日16时30分,2019年04月02日16时30分 ,江口县自然资源局/江口县双江街道北门河江城国际4幢楼,姚江和/陈云,0856-6625432/0856-6829768,铜仁市公共资源交易中心江口分中心收入专户,江口县农村信用合作联社,26940100012011000,2020-04-29 10:06:43,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201904/t20190402_25751817.html,a262c37de9b3556c38ce56ce65fee722,
威宁县国土资源局国有土地使用权挂牌出让公告,2019年04月02日 16:54,贵州省自然资源厅,GZ000001/2019-19946,土地出让转让公告,贵州省自然资源厅,2019年04月02日,无,是,威宁县国土资源局国有土地使用权挂牌出让公告,威宁县国土资源局国有土地使用权挂牌出让公告(威国土储交告字[2019]002号),|WN-2018-PC-039|WN-2019-PC-003,|2004平方米|3915平方米,|威宁县明珠大道东侧出让年限：70年容积率：大于或等于1并且小于或等于5.03建筑密度(%)：小于或等于41绿化率(%)：大于或等于30建筑限高(米)：小于或等于98.1土地用途明细：城镇住宅用地投资强度：万元/公顷保证金：166万元估价报告备案号现状土地条件：现状出让起始价：331万元加价幅度：5万元挂牌开始时间：2019年04月04日09时00分挂牌截止时间：2019年04月14日17时00分备注：土地|威宁县威双大道西段,,|70年|40年,|大于或等于1并且小于或等于5.03|大于或等于1并且小于或等于1.2,|小于或等于41|小于或等于35,|大于或等于30|大于或等于35,|小于或等于98.1|小于或等于18,|城镇住宅用地|零售商业用地,|万元/公顷|万元/公顷,|166万元|424万元,,|331万元|847万元,|5万元|5万元,|2019年04月04日09时00分|2019年04月04日09时00分,,2019年03月13日 至 2019年04月03日 ,威宁自治县国土资源局土地储备交易中心 ,2019年03月13日 至 2019年04月03日 ,威宁自治县国土资源局土地储备交易中心 ,2019年03月30日17时00分,2019年04月03日17时00分 ,威宁自治县国土资源局土地储备交易中心,张松,0857-6226722,威宁县财政局土地资金管理专户,中国建设银行贵州威宁支行,52001696536052501,2020-04-29 10:06:44,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201904/t20190402_25751818.html,71ec115f40d1b8c74e02aa0dd1a8488c,
都匀市自然资源局国有土地使用权挂牌出让公告,2019年04月02日 16:55,贵州省自然资源厅,GZ000001/2019-19949,土地出让转让公告,贵州省自然资源厅,2019年04月02日,无,是,都匀市自然资源局国有土地使用权挂牌出让公告,都匀市自然资源局国有土地使用权挂牌出让公告(匀自然出让告字[2019]01号),|GP2019-01|GP2019-02,|11170.7平方米|50025.67平方米,|位于都匀市绿茵湖办事处邦水村把河寨邦水大道南侧|位于都匀市红牛大道北侧，173-115快速干道东侧,,|40年|70年,|等于0.7|等于2.8,|等于35|等于30,|等于25|等于30,,|其他商服用地|城镇住宅用地,|万元/公顷|万元/公顷,|587万元|1662万元,,|1174万元|8310万元,|20万元|50万元,|2019年04月02日09时00分|2019年04月02日09时00分,||2019年04月17日15时00分备注：该地块为商住用地，商业40年，住宅70年,2019年03月15日 至 2019年04月15日 ,黔南州公共资源交易中心 ,2019年03月15日 至 2019年04月15日 ,黔南州公共资源交易中心 ,2019年04月15日16时00分,2019年04月15日16时00分 ,黔南州公共资源交易中心、都匀市自然资源局,张琦瑶、韩波,13985756316、18185180491,黔南布依族苗族自治州公共资源交易中心,工商银行都匀分行桥城支行,24050401292000436,2020-04-29 10:06:44,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201904/t20190402_25751821.html,0b5d0f7170edd73ff0f556e93cf9aabb,
松桃苗族自治县自然资源局国有土地使用权挂牌出让公告,2019年04月02日 16:57,贵州省自然资源厅,GZ000001/2019-19951,土地出让转让公告,贵州省自然资源厅,2019年04月02日,无,是,松桃苗族自治县自然资源局国有土地使用权挂牌出让公告,松桃苗族自治县自然资源局国有土地使用权挂牌出让公告(松交易告字[2019]1号),|2018LG002,|32767平方米,|松桃县粑坳村,,|50年,|等于1,|小于或等于25.79,|大于或等于12.51,|小于或等于24,|工业用地,|万元/公顷,|72万元,,|360万元,|10万元,|2019年04月10日09时00分,|2019年04月19日17时00分,2019年03月21日 至 2019年04月17日 ,全国公共资源交易平台（贵州省.铜仁市）网站电子招投标服务平台（投标企业登录）进行注册 ,2019年03月21日 至 2019年04月17日 ,全国公共资源交易平台（贵州省.铜仁市）网站电子招投标服务平台（投标企业登录）进行注册 ,2019年04月17日16时30分,2019年04月17日17时00分 ,松桃经济开发区企业服务中心二楼,,0856-2838805、0856-2323125,松桃苗族自治县公共资源交易中心投标保证特设专户,中国农业发展银行松桃苗族自治县支行,20352222900100000,2020-04-29 10:06:45,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201904/t20190402_25751824.html,b58186551271b0ad3c0cb8f32b8b2e71,
绥阳县自然资源局国有土地使用权挂牌出让公告,2019年04月02日 17:00,贵州省自然资源厅,GZ000001/2019-19952,土地出让转让公告,贵州省自然资源厅,2019年04月02日,无,是,绥阳县自然资源局国有土地使用权挂牌出让公告,绥阳县自然资源局国有土地使用权挂牌出让公告(绥自然资告字[2019]002号),|GP-2018-046|GP-2018-047|GP-2018-048|GP-2018-049|GP-2018-050|GP-2018-051,|42170平方米|62692平方米|65555平方米|63791平方米|52911平方米|42942平方米,|绥阳县风华镇工业园区4号路|绥阳县风华镇工业园区4号路|绥阳县风华镇工业园区4号路|绥阳县风华镇工业园区4号路|绥阳县风华镇工业园区4号路|绥阳县风华镇工业园区4号路,,|50年|50年|50年|50年|50年|50年,|大于或等于1|大于或等于1|大于或等于1|大于或等于1|大于或等于1|大于或等于1,|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30|大于或等于30,|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20|小于或等于20,,|工业用地|工业用地|工业用地|工业用地|工业用地|工业用地,|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷|万元/公顷,|865万元|953万元|710万元|707万元|528万元|494万元,,|1729万元|1906万元|1420万元|1414万元|1055万元|988万元,|5万元|5万元|5万元|5万元|5万元|5万元,|2019年04月08日09时00分|2019年04月08日09时00分|2019年04月08日09时00分|2019年04月08日09时00分|2019年04月08日09时00分|2019年04月08日09时00分,,2019年03月26日 至 2019年04月16日 ,绥阳县自然资源局二楼大厅 ,2019年03月26日 至 2019年04月16日 ,自然资源局二楼大厅 ,2019年04月16日16时00分,2019年04月16日17时00分 ,绥阳县洋川镇儒溪路36号,,,绥阳县国土资源局,中国建设银行股份有限公司绥阳支行,52001626736050003,2020-04-29 10:06:45,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201904/t20190402_25751825.html,9d77635e58c634984572729425000cba,
黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告,2019年05月05日 19:11,贵州省自然资源厅,GZ000001/2019-32046,土地出让转让公告,贵州省自然资源厅,2019年05月05日,无,是,黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告,黔西南州国土资源局义龙新区分局国有土地使用权挂牌出让公告(义龙国土告字[2019]12号),|2019-18号|2019-19号|2019-20号,|22761平方米|32329平方米|17589平方米,|义龙新区万屯镇盘新村和万屯村|义龙新区万屯镇阿红村|义龙新区万屯镇阿红村,,|70年|40年|40年,|大于或等于1并且小于或等于1.5|小于1.5|小于1.5,|小于30|小于35|小于35,|大于35|大于35|大于35,,|城镇住宅用地|其他商服用地|其他商服用地,|万元/公顷|万元/公顷|万元/公顷,|362万元|556万元|303万元,,|0.0757万元|0.0819万元|0.0819万元,|0.001万元|0.001万元|0.001万元,|2019年05月10日09时00分|2019年05月10日09时00分|2019年05月10日09时00分,,2019年04月19日 至 2019年05月09日 ,,2019年04月19日 至 2019年05月09日 ,黔西南州公共资源交易中心 ,2019年05月09日16时30分,2019年05月09日17时00分 ,黔西南州公共资源交易中心 黔西南州国土资源局义龙新区分局,罗会斌、符丹、杨战,0859-3521442 3120731,黔西南州公共资源交易中心,贵阳银行股份有限公司兴义分行,38110121050000091,2020-04-29 10:06:46,http://zrzy.guizhou.gov.cn/zfxxgk/zfxxgkml/zdlyxxgkml/tdcrzrgg/201905/t20190505_25775154.html,2eb6da1f72499ee202ff2a4ffc8833fc,
